"location","FDiv","FEve","FDis","Q","sp_rich","Latitude","Longitude","meanDist","nMST","eDep","eRDC","convHullCont","eVar"
1,0.551400996034451,0.780671168414569,1.66190403020622,2.3518315509598,2.63475981881987,43.29,20.32194,2.4821749970539,0.69959681200154,0.153574704702461,0.431788828634772,34.9311000079816,0.36609720535487
2,0.719864776588022,0.85559223682256,2.84559918575286,3.95288716239893,3.12737069183442,43.00642,19.06109,2.91146058459321,0.694091948629775,0.328151848231665,0.709747218337003,36.0795448250958,0.443510064907835
3,0.746290394101162,0.749994236462973,2.30669976100126,3.26746566960258,3.23421504499545,43.98359,20.33335,2.44919909741409,0.750084889144749,0.257789725697913,0.565367240638975,32.2082919337909,0.307147652973851
4,0.923221503751848,0.516490047734286,3.59491609819234,3.89294386108111,1.12870751810748,43.12159,23.12487,3.20316721731372,0.711749531178647,0.510672345210928,0.78101593750368,34.9965678956789,0.367301464310651
5,0.974673113207683,0.404180101323738,1.79352257958155,1.84254677345287,0.482421479806662,43.12159,23.12487,2.79635415119942,0.76128710465353,0.811851003727606,0.869022765458092,11.9921671404636,0.127790654967997
6,0.905815363056006,0.64582566412235,5.19835917360788,6.72578714352812,2.20173011041421,43.333078,-1.73763,3.49344309309531,0.672383297278558,0.365693958373343,0.668201123856941,55.377982200433,0.635087448120902
7,0.858630950541322,0.735612129791193,5.03678773389464,5.9716825618539,2.46039212931683,43.142676,-1.630883,2.75893254899459,0.732776895324643,0.425721907666069,0.761034107533036,31.4646759756495,0.357721981142255
8,0.914409378855109,0.723649283778538,4.18845903181328,4.66369185200663,1.49607044210695,43.082553,-1.902465,3.76368428852193,0.681686549718444,0.398791412306755,0.784968168106813,51.6849347440242,0.691261965483283
9,0.75722581029304,0.73063665296081,2.9885528229669,4.14118148189003,3.11259260455861,43.083665,-2.025283,3.06539382740392,0.707543146317079,0.351649682926217,0.567035684062387,59.5646622896683,0.532292135750833
10,0.764345663500162,0.743279188213312,3.03559139582317,3.95251219907272,2.74028888871511,42.385115,-2.995763,3.0656375818893,0.714129380402068,0.303831439311508,0.589369089521277,47.2145749448178,0.552401995834366
11,0.848701629358389,0.82754363257241,2.84007061991992,3.57253569173669,2.67519942401216,42.726127,-2.44614,2.32928822888673,0.739027729369789,0.436294239324845,0.776096732207096,20.6001184836544,0.265853292939611
12,0.82515652006091,0.731776052076932,4.63556248391515,5.57881283247039,2.01756416152075,41.979539,-2.838858,3.15747438116893,0.7131553846655,0.425933621908692,0.728890240586526,45.137962920317,0.488458285151951
13,0.782344419974106,0.569194909504487,5.25086806308415,6.10511262531939,1.78532566577096,43.058996,-2.357216,3.73254827261181,0.699161326761118,0.534613179422611,0.809969159641948,53.5349362257696,0.546667145538383
14,0.714822859706109,0.690907070797872,3.90738054898657,5.19079832979213,3.12562526366425,43.083345,-1.988446,3.37929553865501,0.724429194936892,0.48916878323577,0.726595106861097,53.6487259402181,0.494593588835787
15,0.990969636275387,0.268710897002386,1.35255867589078,1.39474808914137,0.761477258280217,51.366031,5.011039,1.91247273731304,0.800054139155329,0.633184998089114,0.748967525785807,11.9737627943481,0.0558139737858846
16,0.540931525739063,0.785864933945044,1.60981352908841,2.26629528505994,2.58346665188058,45.739733,15.672937,2.32593317922165,0.763453854931789,0.120516012255931,0.554930890503421,22.7943112447357,0.306713105898835
17,0.760339382910853,0.596643293169757,4.53714484302663,5.46328691835801,2.36323872145017,45.3323,17.50958,3.14677686432748,0.68906890638433,0.431351695422649,0.776181735654061,39.3920108155742,0.472553517024594
18,0.90060516196938,0.492047032147011,2.45293760758487,3.14094999383271,1.4373506952194,45.27336,17.53785,2.97387903285474,0.648090611485945,0.54955974581866,0.820864174182158,47.3192082528753,0.335967991304052
