"loc","Latitude","Longitude"
1,43.29,20.32194
2,43.00642,19.06109
3,43.98359,20.33335
4,43.12159,23.12487
5,43.12159,23.12487
6,43.333078,-1.73763
7,43.142676,-1.630883
8,43.082553,-1.902465
9,43.083665,-2.025283
10,42.385115,-2.995763
11,42.726127,-2.44614
12,41.979539,-2.838858
13,43.058996,-2.357216
14,43.083345,-1.988446
15,51.366031,5.011039
16,45.739733,15.672937
17,45.3323,17.50958
18,45.27336,17.53785
19,45.87687,15.93737
20,45.82992,15.60097
21,45.78626,15.68409
22,45.77152,15.61756
23,45.74858,15.70643
24,45.75822,15.65272
25,45.76661,15.67907
26,46.17994,16.05873
27,45.34958,16.92046
28,44.38497,15.46995
29,45.81999,15.62093
30,45.37418,18.04085
31,45.35003,17.29156
32,45.58074,17.49228
33,45.57454,17.47543
34,45.53168,17.60334
35,45.54863,17.58632
36,45.93223,15.97584
37,45.4105,14.82107
38,45.40887,14.82149
39,45.16241,14.19186
40,45.1613,14.19019
41,45.16067,14.18929
42,45.16067,14.18972
43,45.16094,14.19049
44,45.16238,14.19219
45,45.16369,14.19239
46,45.16679,14.19142
47,45.28052,14.20633
48,45.30643,14.21207
49,45.28735,14.20588
50,45.35226,14.18794
51,45.37887,14.21788
52,45.34039,14.24816
53,45.32917,14.24542
54,45.31688,14.2107
55,45.36057,14.19301
56,45.37902,14.21805
57,45.36705,14.23846
58,45.32997,14.24243
59,45.33564,14.22528
60,45.78208,17.939715
61,45.44411,14.64091
62,45.44875,14.64589
63,45.41327,14.61435
64,45.41592,14.61409
65,45.59763,15.68873
66,46.19232,16.54015
67,45.25062,18.55094
68,42.136293,19.150487
69,45.486712,14.766271
70,44.99355,14.714286
71,45.045015,14.467502
72,46.325398,16.348584
73,45.647853,16.678548
74,45.27068,16.38213
75,45.25923,16.36634
76,45.26907,16.37237
77,45.25062,16.43829
78,45.18891,16.43333
79,45.899278,16.991264
80,45.888817,16.049784
81,45.121814,14.342672
82,45.121814,14.342672
83,46.30994,16.87234
84,45.255327,19.253673
85,45.434638,18.993362
86,45.32409,14.68218
87,45.41412,14.68503
88,45.45185,14.65988
89,45.45185,14.65988
90,45.4517,14.60401
91,45.4669,14.60937
92,45.4436,14.64782
93,45.45381,14.66465
94,45.43192,14.62027
95,45.41974,14.67841
96,45.41903,14.67919
97,42.758889,16.841106
98,42.765749,17.375444
99,45.135392,13.610626
100,45.148117,13.624815
101,44.835178,13.855808
102,44.122025,15.26371
103,42.627348,18.120587
104,42.627348,18.120587
105,42.62725,18.121446
106,44.813246,13.979789
107,44.831068,13.973286
108,44.809561,13.978544
109,50.094444,14.693889
110,49.065833,13.406667
111,48.978333,13.477222
112,50.093056,15.341389
113,48.789722,13.800556
114,49.179722,13.186944
115,49.110556,13.326111
116,48.785556,13.829167
117,49.080556,13.579444
