"loc","FDiv","FEve","FDis","Q","sp_rich","Latitude","Longitude"
1,0.451380003877135,0.710873322576109,1.42075269150284,2.04739525762781,1.77300905108138,43.00642,19.06109
2,0.818506081501643,0.776479640073964,2.82261802537312,3.69230163892879,3.08753778271117,42.10003,19.09964
3,0.617042492741928,0.658266314162651,1.61229965502029,2.2168321406024,2.42650202314517,42.10003,19.09964
4,0.604141993450722,0.73295567899734,2.08357849900822,2.80756204905362,2.29403210445477,43.17474,23.48273
5,0.829625362511525,0.810091661224208,2.1089680156912,2.58626765698488,2.1108341832333,43.18198,23.50508
6,0.915693845707588,0.629655332921567,2.84806809239325,3.23777154069544,1.54010170322549,42.11192,23.55666
7,0.932644192902081,0.681078364531102,1.74184915489294,1.86754339744956,0.944078447476799,42.11192,23.55666
8,0.777256364276395,0.636201807794566,3.17879496696916,4.0843895645797,2.15223215464837,45.60269,15.03102
9,0.905148905816799,0.698347021331642,3.57727048513741,4.5026368271073,2.24778960963327,41.7625,24.7192
10,0.947756275855675,0.663558090302127,2.72984638907775,2.91066644565284,0.905570270779025,43.036003,-1.756
11,0.842885179212418,0.70911404167826,4.18777026576073,4.7820757132829,2.04958039745572,42.958064,-2.088557
12,0.820767928412672,0.748645575200039,4.0582875165571,5.37905182730847,2.38373401931076,43.00938,-1.793349
13,0.733892042760271,0.765192223573669,1.41408098259465,1.80268725744628,1.61495297911033,44.799079,14.976554
14,0.66080527309909,0.730563606808907,1.77546718202354,2.41621066533064,2.16328916441745,44.798751,14.975631
15,0.821343367835436,0.742481629459677,3.56051126023459,4.42945640895821,2.72565257001978,44.77602,15.08892
16,0.858704958333634,0.745918328071868,3.60971282445178,4.36747879389765,2.38828746685567,44.69555,15.04552
17,0.942709544635691,0.76741676097205,2.18653187389887,2.70315249871471,1.781299137774,44.75159,15.76323
18,0.818457318705357,0.732733181565138,3.47805539385618,4.45227419288819,3.06353897981991,44.85916,15.07718
19,0.542935442753054,0.740582837477422,2.13501341103498,3.1490174059347,2.91673270417181,45.57031,16.25379
20,0.747026474633685,0.525966645985502,3.26128922488629,4.19797047626578,2.95545417874819,45.38463,16.82275
21,0.927350000540311,0.713417558188813,2.31021740238465,3.12492932004428,2.52301058191087,45.728522,18.62171
22,0.900645691129432,0.66458762924491,2.70318133134326,3.59612090677041,2.83238630013468,45.728522,18.62171
23,0.820952143552048,0.732678530119157,2.65015973881895,3.38494179950249,2.09542111370638,45.163199,14.572594
24,0.691259008623588,0.672096184722467,2.21409003349369,2.81547984295651,1.60152608499934,45.143869,14.600913
25,0.849330771856004,0.706443394287527,3.92867824951655,4.89654555835898,2.07381012140256,45.071545,14.559371
26,0.815307667687412,0.735766327706581,3.40147917337076,4.58612356865849,2.75123295217276,45.941661,16.893412
27,0.881736542725591,0.660993096979357,2.58872564645666,2.98944739755012,1.76399341482216,45.304035,17.903955
28,0.792641179298816,0.71841292604165,3.36812908018864,4.41892945587271,3.54868119539386,50.6575,14.345
29,0.798994140873249,0.438114280540806,1.61754304386503,2.28811206919783,1.37351570982381,47.8269,-2.968271
30,0.872737121321641,0.748825368856182,3.87249259802583,4.79138861134659,2.59962467800605,48.3165,-4.097771
31,0.786482033954201,0.581608308900338,3.7859686229605,4.88415367090633,1.91053121108943,49.4118,0.688429
32,0.870332197207712,0.741614975494212,3.65794976319074,4.52514793404202,2.37268684746567,46.6974,6.254929
33,0.784878007847181,0.66593604966246,2.37134480587941,3.23546570496792,2.96610998096979,47.3436,6.755329
34,0.808449042252919,0.624807444734096,3.67800135434452,4.81189355151001,2.90585764205634,47.2212,6.899329
35,0.905511068615258,0.56271020751714,3.07678481506542,3.89019952456166,1.48916657133405,50.597295,10.816555
36,0.942136360587079,0.820505313766577,1.42265936832217,1.61791841722366,1.14547987728912,51.434778,13.901411
37,0.671502557485999,0.471030095917513,1.84373637092098,2.20260964220472,1.69081361688487,51.434778,13.901411
38,0.482701999545533,0.612368247398791,1.75298224053137,2.47583066617032,1.50615353417926,49.12501,12.37498
39,0.767877700076974,0.465076325492745,4.02871746463103,5.05626205106811,1.622396440921,48.95215,12.89318
40,0.370605174252605,0.445901997714097,2.06160226770058,2.29257840110142,0.632960966725482,52.89314,10.76521
41,0.747345260097068,0.617809307889622,3.46631133174042,4.5076446549228,2.39929370493178,52.190946,5.591944
42,0.762094867708188,0.573309721042774,2.71367921714416,3.45430292154331,1.76616616014469,51.929699,6.707992
43,0.754099179092309,0.658946503838069,3.12984004024386,4.34473486831419,2.88690918917669,51.967496,6.782162
44,0.869042738903737,0.733817152506286,4.06814833355602,5.18781838380872,2.6789924015247,51.967284,6.769639
45,0.780996501922608,0.59595046895054,4.09427881665941,5.38972044925464,2.64388844929458,52.079451,6.335431
46,0.726418983380963,0.770476590951703,1.84472266205432,2.47698696639033,2.00100652342451,52.055357,4.795251
47,0.602798988068257,0.679722357013414,1.79561700878072,2.52928268142917,2.84863317660161,51.994039,4.708698
48,0.806787232510913,0.70179141663755,2.81962836408622,3.60589424439019,2.03187395559838,51.375874,5.42167
49,0.899982322825219,0.458971017898236,2.76484036059846,3.11395483655643,1.13128206234887,56.061855,13.602099
50,0.756637529755999,0.599536069786924,3.40772026459029,4.09133644401464,1.98925708704789,51.354444,17.533333
51,0.474089015811239,0.52851630471977,2.7052557659898,3.4956559053796,1.77331764168068,51.511944,17.833333
52,0.599018340565712,0.947759443678674,2.78580263287161,3.11662950483901,0.997666436324924,51.439167,17.816667
53,0.758680014485044,0.66115373079362,3.19404261993974,3.71109226102661,1.68499306296501,51.350556,17.833333
54,0.832283527176389,0.702636322399439,4.37763549132555,5.76516739148526,2.57266762550273,46.943611,27.648611
55,0.940519632706499,0.651462373915781,3.07851300939283,3.54020951074344,1.36560449898251,46.175556,26.719722
56,0.769848023084075,0.8530299139204,3.81236180809431,5.19877150910777,3.65618046452696,44.664722,24.032222
57,0.903199603268969,0.800053304315333,4.274296504598,4.92400298433942,2.06589720332059,45.955556,26.958333
58,0.876051958277395,0.804640548793235,4.02917717065563,4.89247562932266,2.73311771425279,45.956111,26.957778
59,0.885486115226074,0.792843017925016,4.39242701770216,5.19382763665405,2.56578012181499,45.776667,27.017778
60,0.870539544117539,0.692924221853837,3.83803710675019,4.42043136504535,1.96992016970945,44.94772,22.91188
61,0.812538601642448,0.789099754866842,3.04605799149588,3.97447815843276,3.67622920926327,47.78003,26.27128
62,0.767687457056182,0.773841703436196,3.03790776132601,3.98954433771479,3.47346621225234,47.78003,26.27128
63,0.796048467106506,0.725586979793185,3.63045115317034,4.52662583718929,2.18492130426616,54.254722,57.714722
64,0.740398491144455,0.712681427200304,3.43426312979509,4.65360882986034,3.20799463716017,54.152778,57.761667
65,0.733961895316261,0.715966684391132,3.17072421959365,4.12267051269948,2.74079051108719,54.236111,57.595833
66,0.742117314187003,0.752630228330381,3.13110472308349,4.13585828551216,3.1390731281761,54.6125,57.2375
67,0.728244935988398,0.742817291727118,3.0945510897539,4.02839455370353,3.05298910701014,54.277222,57.640833
68,0.758199500963278,0.651271116488016,2.94147167932983,3.72232768831742,2.60684840290917,54.316667,57.6
69,0.888933363188606,0.745158626253945,4.21991875819319,5.36577869652566,2.58394776128213,54.2675,57.683333
70,0.709175882222836,0.760579002862787,3.00871699409555,4.0933568229143,3.33299897773028,54.633333,57.266667
71,0.71561203486563,0.637142244295004,3.03147432408042,3.82244316702124,2.46340830383623,54.275556,57.682222
72,0.761916349733263,0.700464970321004,3.45812475074286,4.48500655626073,2.79302572118196,54.293056,57.693056
73,0.754603681564254,0.774942288870234,3.22188858180847,4.1765321030196,3.05449178672349,54.202778,57.725
74,0.742649578846687,0.735011605258966,3.18904203864924,4.07688318199042,2.59912279230214,54.1825,57.638056
75,0.711375753348107,0.65831819650483,2.77852262087004,3.66991962315867,2.79685749187203,54.1335,57.787667
76,0.888556107274823,0.758658473241549,3.51199688369532,4.42810134293568,2.71437801842531,54.321389,57.613333
77,0.81191031202008,0.746154105123444,3.68098857852007,4.73200104192117,2.80350464377747,54.365472,58.326639
78,0.830421681165396,0.735508112372055,3.5804266402193,4.58471249730784,3.00799445463205,54.383278,58.3505
79,0.807279227928525,0.76182042430132,3.14208068167849,4.175188311446,2.88638659575782,54.393861,58.3605
80,0.572223854331621,0.657279964894156,1.55201560618511,2.24011964374701,2.65143679322526,49.126667,20.062222
81,0.593642274408147,0.602022301023128,1.97488397002043,2.31957887445639,1.17704458222943,49.141667,20.050278
82,0.73196170854436,0.666452115346256,4.39844187966758,5.12603652992069,1.48768802586901,49.203333,20.066667
83,0.720116117738078,0.773292862936051,2.09487118602997,2.81340675808163,2.8450857043577,49.19,20.071944
84,0.646571070949677,0.684436374257182,2.04249941895287,2.78061857609614,2.90596613472717,49.174167,19.991667
85,0.693099989880734,0.56980486680291,1.75497538919635,2.32023458705219,2.26711487212017,49.191667,20.081667
86,0.838344969226405,0.695688601018702,2.77518283197336,3.21304346969442,1.73174946131744,49.155,20.156111
87,0.671086751054189,0.38955777225914,2.78520798451573,3.28229313254288,1.41015112322528,49.580556,19.546111
88,0.77346567680028,0.485046445357953,5.50430828235955,6.71307864027543,1.48267325969538,49.219444,20.107778
89,0.818857873816628,0.346941594265933,5.34000049130343,6.56821588843641,1.63372197364158,49.208889,20.097778
90,0.537078643682733,0.607009461821347,2.40377949304513,3.11362264220007,1.58563141620759,46.130083,14.519219
91,0.562215822801819,0.658854635730284,3.4279686542505,4.42597854177942,2.08971877752391,46.119664,14.511153
92,0.748141916352251,0.745238701738735,3.86575956807335,5.23775012807704,3.49189790900126,46.305389,14.616983
93,0.775038524802784,0.74122110372744,3.21639937222774,4.19908585177622,3.35849164320295,46.293744,14.627903
94,0.885226203353234,0.760133523724957,4.22337481174909,5.31181890916654,2.71308302708973,45.738456,14.327186
95,0.71397972426905,0.640519996562556,3.4074850274966,4.60258656813753,2.82934229821221,45.727444,14.348014
96,0.892008724880889,0.702905957781577,4.11916540558202,5.10376295536427,2.74327641390983,45.738469,14.333836
97,0.740850368374757,0.636405391110785,3.47622497169321,4.23662390618053,2.20473438012115,46.423208,14.313739
98,0.736806564527199,0.7831135211388,3.26228855265075,4.43563865610974,3.53386399642464,46.437614,13.627339
99,0.739210682364309,0.752207280488178,3.45205383493449,4.66245202052612,3.4320545898034,46.435231,13.626489
100,0.894142144791444,0.604992899407767,3.10778419372502,3.61800738667714,1.74005666826962,46.331336,7.774332
101,0.854396517667136,0.689640253559296,4.13741274186651,4.69816731020508,1.65180315380056,46.183297,7.846983
102,0.872135611105093,0.775804739529302,3.34826461691804,4.04945224489046,2.47885066168024,47.477939,8.380562
103,0.856759720040849,0.613224410803217,2.53581630180098,3.45865383717548,2.99543860856198,46.674169,6.48498
104,0.832660864279789,0.636601667175742,3.83715571521986,4.76912427346817,2.73708306300074,46.796975,6.530093
105,0.827996489659657,0.635053829672216,3.64650200621326,4.81635162330406,3.30917056928072,46.969494,6.791575
106,0.848654382927734,0.688643850528434,4.55865154167847,5.6416776951508,2.71487648904517,46.676517,6.486115
107,0.819477724139276,0.656588390335672,4.16724824394328,5.28681230746532,2.96411703234726,46.666424,6.484071
108,0.889669014947831,0.69795442816017,3.72248594046661,4.51515269087144,2.63629643967417,46.677227,6.484926
109,0.697091279898216,0.518085911516854,3.19053270504052,4.39844816690393,2.86483028703736,46.47184,6.308461
110,0.834033867687905,0.617773885652046,3.36884073580014,4.47444246246488,2.88448932260643,46.734897,6.474746
111,0.783966218093966,0.56121681256595,3.04095565701477,4.08992777293567,3.36859131816556,47.125634,7.211554
112,0.907219503873944,0.748820566931739,3.51598138477712,4.48085541008333,2.64668330333605,46.72772,6.498685
113,0.716182500346617,0.534128273153843,2.58181942153228,3.42057872234394,2.86872882502897,47.049718,8.592704
114,0.874347157696351,0.467194832888746,1.98090052352067,2.38008665069734,1.86044844645973,49.73064,30.20086
115,0.917887984505584,0.646498465332424,3.03107319108383,3.72437995627574,1.64513219560974,50.39339,30.55303
116,0.910246007586161,0.413936521061417,2.95923260419486,4.00884462914054,2.01932916417092,50.35853,30.49528
117,0.983673235953885,0.681962208132895,0.885237200415491,0.921627850966626,0.421294306419529,48.16,24.53722
118,0.971712063922241,0.732799149160121,3.98749826963507,4.63940333729885,1.25410493510381,47.81516,24.96548
119,0.608197962640435,0.642775049529924,2.31049441448544,3.14862368281364,2.68696422640628,36.983495,15.040369
