"location","FDiv","FEve","FDis","Q","sp_rich","Latitude","Longitude","meanDist","nMST","eDep","eRDC","convHullCont","eVar"
1,0.451380003877135,0.710873322576109,1.42075269150284,2.04739525762781,1.77300905108138,43.00642,19.06109,2.61241849539525,0.744166110008343,0.500234534530224,0.824041008800205,22.9356789845607,0.310240065861491
2,0.818506081501643,0.776479640073964,2.82261802537312,3.69230163892879,3.08753778271117,42.10003,19.09964,2.74543054579658,0.728304009737952,0.453590415304381,0.707313004808509,29.0452187728005,0.347581691719314
3,0.617042492741928,0.658266314162651,1.61229965502029,2.2168321406024,2.42650202314517,42.10003,19.09964,2.48806617997469,0.739119056479605,0.347538727167028,0.732508900341314,20.4791341651312,0.285274519039127
4,0.604141993450722,0.73295567899734,2.08357849900822,2.80756204905362,2.29403210445477,43.17474,23.48273,2.58459930149162,0.734159782274776,0.473387434357268,0.779696286433707,24.6357120875323,0.301935616608067
5,0.829625362511525,0.810091661224208,2.1089680156912,2.58626765698488,2.1108341832333,43.18198,23.50508,2.60526490294151,0.702722919747974,0.344270852968245,0.686879909074009,27.4652074701048,0.362383572335258
6,0.915693845707588,0.629655332921567,2.84806809239325,3.23777154069544,1.54010170322549,42.11192,23.55666,3.11444756201923,0.707806411193769,0.497720014916802,0.805519501701412,36.4414158649325,0.415148932552086
7,0.932644192902081,0.681078364531102,1.74184915489294,1.86754339744956,0.944078447476799,42.11192,23.55666,2.77440144933229,0.735917130823079,0.580593388546742,0.849588289005685,22.0291869828766,0.320530652114263
8,0.777256364276395,0.636201807794566,3.17879496696916,4.0843895645797,2.15223215464837,45.60269,15.03102,2.74765614413848,0.680469747070985,0.461786721183584,0.763871214156733,46.9218618947875,0.380165998282951
9,0.905148905816799,0.698347021331642,3.57727048513741,4.5026368271073,2.24778960963327,41.7625,24.7192,3.06045787937924,0.69144448985236,0.500982694911301,0.767596861852923,37.85781960884,0.4298859259667
10,0.947756275855675,0.663558090302127,2.72984638907775,2.91066644565284,0.905570270779025,43.036003,-1.756,3.29333195253223,0.692984537299856,0.414972770538172,0.824933823596133,43.2947399167178,0.551604689146413
11,0.842885179212418,0.70911404167826,4.18777026576073,4.7820757132829,2.04958039745572,42.958064,-2.088557,2.66587520720746,0.7250592085509,0.359505636281895,0.733600382097571,41.537078776398,0.405455963730042
12,0.820767928412672,0.748645575200039,4.0582875165571,5.37905182730847,2.38373401931076,43.00938,-1.793349,2.72889162842683,0.72742692635827,0.346954500406192,0.735992213617432,41.9282099462793,0.410718322990114
13,0.733892042760271,0.765192223573669,1.41408098259465,1.80268725744628,1.61495297911033,44.799079,14.976554,2.30256434109244,0.726555284719705,0.262780149462988,0.709377537618475,25.9073810702033,0.270214824894604
14,0.66080527309909,0.730563606808907,1.77546718202354,2.41621066533064,2.16328916441745,44.798751,14.975631,2.47916736228274,0.709990023297185,0.154936698946708,0.631997379513296,30.6688403781033,0.359847368206409
15,0.821343367835436,0.742481629459677,3.56051126023459,4.42945640895821,2.72565257001978,44.77602,15.08892,2.8894448276818,0.698785330540043,0.366831858096223,0.619381482005451,40.0698168818369,0.462177341718231
16,0.858704958333634,0.745918328071868,3.60971282445178,4.36747879389765,2.38828746685567,44.69555,15.04552,2.8689418798712,0.719373012103315,0.382673282440451,0.724431435355598,32.9202883981041,0.438407534254013
17,0.942709544635691,0.76741676097205,2.18653187389887,2.70315249871471,1.781299137774,44.75159,15.76323,2.75287114163014,0.704667352248646,0.404594038728629,0.753476000962377,26.7072866640098,0.363513928363448
18,0.818457318705357,0.732733181565138,3.47805539385618,4.45227419288819,3.06353897981991,44.85916,15.07718,2.75469542359817,0.722707938151135,0.396778646260005,0.638065634858248,37.7392105454475,0.406297053034801
19,0.542935442753054,0.740582837477422,2.13501341103498,3.1490174059347,2.91673270417181,45.57031,16.25379,2.623184766637,0.718260788086061,0.307570635830869,0.57391494205203,39.9047747867547,0.39475842645975
