"Land_system_names","Land_use","lon","lat","Landform_sha","BIO9_Mean_Temperature_Driest_Quarter","BIO1_Annual_Mean_Temperature","BIO10_Mean_Temperature_Warmest_Quarter","BIO11_Mean_Temperature_Coldest_Quarter","BIO12_Annual_Precipitation","BIO13_Precipitation_Wettest_Month","BIO14_Precipitation_Driest_Month","BIO15_Precipitation_Seasonality","BIO16_Precipitation_Wettest_Quarter","BIO17_Precipitation_Driest_Quarter","BIO18_Precipitation_Warmest_Quarter","BIO19_Precipitation_Coldest_Quarter","BIO2_Mean_Diurnal_Range","BIO3_Isothermality","BIO4_Temperature_Seasonality","BIO5_Max_Temperature_Warmest_Month","BIO6_Min_Temperature_Coldest_Month","BIO7_Temperature_Annual_Range","BIO8_Mean_Temperature_Wettest_Quarter","Top_Rao","Cec_Rao","Clay_Rao","N_Rao","pH_Rao","Sand_Rao","Silt_Rao","Soc_Rao","Hyd_feat_Sha","TWI_Rao","C.hull","F.eDep","F.eRDC","F.rich","F.disp","F.div","F.eve","F.dist","F.nMST","F.rao","Sp.rich","intensity_bi","intensity_ord","intensity_bi_N","intensity_ord_N"
"water body",11,5061284,3719465,0.552867014787253,0.00531897035140907,-0.354401942809873,-0.192851310067095,-0.3402620875754,-0.668856528388329,-0.871479640880799,-0.828197236706797,-0.0258206975178103,-0.79464398362094,-0.758441319703326,-0.686992563718466,-0.401610645439575,-1.50153652155324,-1.7727812180197,0.400019740976446,-0.131956702151536,-0.047755741415234,-0.0982009983651759,-0.160523785685841,-1.60479076681354,-1.01217522017115,-1.19653583446497,1.14318987220201,1.21785397174055,-0.272800443272354,-0.397585832500852,-1.68507748689152,2.15921852349124,1.85417840373791,2.02889385681823,-0.66449312358919,-1.06260716383654,1.07543378240318,-0.331228897797328,-0.706760594515198,-0.382767590306394,0.328791140174744,-0.442307429582053,-0.109545761838967,0.547028721189485,"low","none","0","1"
"low-intensity forest",41,5058284,3718465,-0.115691502637677,-0.00623348853662561,-0.375906265672192,-0.230828531546117,-0.344312805627047,-0.655908295601931,-0.853290617297558,-0.828519232625062,-0.00463423124416181,-0.775300929135912,-0.752832370138243,-0.67837325939436,-0.388887825139382,-1.49413792854831,-1.71898535943879,0.346869929157094,-0.157619363751603,-0.0462494329576008,-0.133767019031449,-0.173458903957651,-1.47052767991262,-1.69442087866812,-1.96740914367319,-0.821527762907195,-1.08258325990775,-1.48520896764457,-1.1322854344233,-0.579867774358929,-0.765298687042914,-0.0414152325628054,-1.11673048280046,-1.70362997331737,0.234163579832544,-0.609127381858493,-1.39132119444594,-0.0722773811500931,0.520436320837972,-1.83607363236526,1.31164753142045,-1.11882653274195,0.236047594256741,"low","low","0","2"
"high-intensity forest",43,5285284,3717465,0.233477141468109,0.0280051044967525,-0.278656660063891,0.153160293247443,-0.611314876953348,-1.12309995432251,-1.25470578186712,-0.870616946454195,-0.204374514299615,-1.15736692746477,-0.979317792930746,-0.873190521883709,-0.955605123984136,-1.45421648817563,-2.35272329408513,1.40090605880487,0.234016630846723,-0.296954672539094,0.756283857950474,0.939919541703547,-1.44996217606089,0.115316259542686,-0.63153960017301,2.50916810732806,1.01100988528661,0.495161247292501,-0.181823115589929,0.444590908514756,0.272135868068268,1.25775197291311,1.77886749615204,-0.389426601120842,0.158081614522893,0.970582319852596,-0.251008384872075,-0.398689517818039,-0.577154680541277,0.489428983332832,-0.184102003224443,-0.380704171082968,-0.191742375096392,"high","high","1","4"
"low-intensity forest",41,5060284,3716465,0.625630356828846,0.00588090356412932,-0.35335336656127,-0.190670245743143,-0.339319120567382,-0.655097872121175,-0.858888206448562,-0.828844132546917,-0.0281783610558479,-0.782212318513488,-0.749009864712264,-0.68009797823933,-0.379311169221382,-1.50153652155324,-1.76019681547165,0.39803203824899,-0.122373547642402,-0.0404641348062211,-0.0969044508923056,-0.16212599335295,-1.63778602923938,-0.94199420022416,-1.82532637373859,0.925562881660941,1.05060366028731,-1.52142036765531,-1.91725249649367,0.680687457483271,-0.855156078940873,1.04156717533302,1.76795621953091,-0.501209424722962,-0.805790546700942,1.69654983655608,0.178717818375603,-0.436355811686318,0.431900159054191,1.26495839871297,-0.568847963084401,0.454914722184984,0.735508534681263,"low","low","0","2"
"high-intensity forest",43,5328284,3708465,-2.05489132194241,-0.0582498684959745,-0.410976453604971,0.0701208934043024,-0.748474846390656,-1.10651622363695,-1.12553717169956,-0.876033842434157,-0.0327717396845908,-1.11743269618847,-0.974654789185963,-0.8430528966816,-0.993150894402526,-1.69478548556219,-2.69192038431917,1.52962255209217,0.0964660887677567,-0.423732606378927,0.771360423765644,0.882387827700098,-1.66865309295804,-0.0520215214568919,-1.05122029220204,-0.580303754119716,0.726191610277049,-0.207694657205554,-0.156176071526101,1.07129820087897,-0.905100705637188,0.611450922607471,-0.977464475088017,0.409662073346661,0.974134130144728,-1.28518272974509,-0.503943101383245,0.671951879156869,-1.69674872384277,-0.710004866427891,1.61919968900564,-0.920002485729583,-0.956102659745086,"high","high","1","4"
"medium-intensity forest",42,5130284,3702465,-1.02317515022933,0.0220341130843107,-0.337985594603083,-0.0826519558605166,-0.448117384212462,-1.21935456417339,-1.37887855988821,-1.06169271622888,0.00992589590207748,-1.26898285058472,-1.12328223862789,-0.955128698570164,-1.10737049836733,-1.30828755754429,-1.77828639708391,0.721812904752892,0.0425984986719589,-0.121500036869741,0.240540443756691,0.776543085469321,-1.67213213979065,0.684452208123609,-0.713126685454121,-0.492723297229017,-0.605505046747265,-1.21106544602531,-0.917623929041557,0.420579030387063,-0.485317972837896,-0.451686570029766,1.41630361223144,0.545933270443397,0.106311385062402,1.08906864907218,-0.303539939638683,-2.17648851405743,-1.34008242872112,1.38820203575699,-0.290861377169297,-0.0584185079704508,0.119251181634798,"low","medium","1","3"
"forest/shrubs and cropland mosaics",71,5134284,3664465,0.846983933584708,0.0544864660079202,-0.265393540735635,0.00933812714602789,-0.430812211393653,-0.993396465934446,-1.23510855290382,-0.956550594502406,-0.286356611002501,-1.10009353524801,-0.934720065143302,-0.829831154469656,-0.778043766065914,-1.21166261479796,-1.74039676817837,0.863122043097181,0.118844988960889,-0.096918526909356,0.301882228661518,0.840276050262939,-1.34305244041791,-0.894749029932535,-0.540454163153009,1.00961254126782,1.92124671654055,0.58389653293159,1.35116429230315,2.45240137348398,0.400044615352686,0.268970182130339,0.190858499791353,-0.234953822802525,0.771096282896402,-0.271945520409106,0.999812948887121,-0.0337927180288329,0.236483920866831,-0.799651989001876,0.861759922747284,1.3983915248284,0.481898837377013,"low","low","0","2"
"forest/shrubs and cropland mosaics",71,4536284,3658465,0.257732183564024,0.734590391699402,-0.0879455928078542,-0.304982717321389,0.280135291130686,-0.783821441152754,-1.123718147344,-0.778363605789386,-0.677643785812147,-1.05353002972055,-0.7266594159544,-0.872220289332094,-0.310066919421236,-1.67521777819395,-0.988708888576598,-0.92042724312061,-0.301631500857118,0.561234418069009,-1.24703216686994,-1.71659068461234,-1.35020829910683,0.14619708473505,-1.0683582974389,0.45804145574617,0.277435483071589,-1.00582650193782,-0.357408427644317,1.67255150848153,-1.24971146265186,0.352826120797351,0.422403857973466,-0.0582038041316381,0.077903932735837,-0.0439511440845249,-1.29366642772456,-1.87199788607734,0.24512570212913,-0.2510056347322,-0.29519301794829,-1.07798918603582,-0.294503285326933,"low","low","0","2"
"forest/shrubs and cropland mosaics",71,4524284,3654465,-0.476885073638068,0.539717416720084,-0.110867729222273,-0.344277611558209,0.281948152661223,-0.661807187112853,-1.01108759111827,-0.660698142813248,-0.623839725010417,-0.942977981157341,-0.626794200675809,-0.738910551235685,-0.270774068652354,-1.59816100355771,-0.871182277759674,-0.974324567076785,-0.33153844614393,0.587454218692561,-1.32578973809947,-0.7524566253828,-1.62036797821399,-0.669939466651731,-1.53054717237707,-0.460623025093636,1.04336663586426,-0.724012546453015,-1.65503816219405,2.30274803551293,-1.14372338101238,-0.0505348931512082,-1.20786830442402,0.585784219478735,0.7966708535527,-0.724319912856555,0.472059363112788,1.13708526185063,0.686530084983395,-0.289382308187958,0.407367973891525,0.245678550620303,-0.730406711440442,"low","low","0","2"
"high-intensity forest",43,4546284,3651465,0.924728890863316,0.734810063826082,-0.0906410251233799,-0.293258031387548,0.277711500821095,-0.890924135210574,-1.24568167434061,-0.822185716951364,-0.752239646770059,-1.16443987020693,-0.78360682818988,-0.962229556776747,-0.40790736942415,-1.55380906932929,-0.904806142289727,-0.898462124091892,-0.258865363555409,0.553840835866023,-1.18031611044907,-1.71847692810522,-1.29233667725532,-0.637015342544065,-0.556557951861477,0.581121321720364,-1.14614573424846,-0.352663653330188,-0.506929065434553,0.954690467854786,-0.39495683786186,-0.300551077235567,-0.53248919916959,-0.603902482456935,-0.456433128336551,-0.804176135960405,1.52725706847357,0.970552778867943,-0.0525641744868709,-1.42874863661165,0.949474232953367,1.44985407944929,0.0378755512736415,"high","high","1","4"
