"Land_system_names","Land_use","lon","lat","BIO1_Annual_Mean_Temperature","BIO10_Mean_Temperature_Warmest_Quarter","BIO11_Mean_Temperature_Coldest_Quarter","BIO12_Annual_Precipitation","BIO13_Precipitation_Wettest_Month","BIO14_Precipitation_Driest_Month","BIO15_Precipitation_Seasonality","BIO16_Precipitation_Wettest_Quarter","BIO17_Precipitation_Driest_Quarter","BIO18_Precipitation_Warmest_Quarter","BIO19_Precipitation_Coldest_Quarter","BIO2_Mean_Diurnal_Range","BIO3_Isothermality","BIO4_Temperature_Seasonality","BIO5_Max_Temperature_Warmest_Month","BIO6_Min_Temperature_Coldest_Month","BIO7_Temperature_Annual_Range","BIO8_Mean_Temperature_Wettest_Quarter","BIO9_Mean_Temperature_Driest_Quarter","Top_Rao","Cec_Rao","Clay_Rao","N_Rao","pH_Rao","Sand_Rao","Silt_Rao","Soc_Rao","Hyd_feat_Sha","Landform_sha","TWI_Rao","C.hull","F.eDep","F.eRDC","F.rich","F.disp","F.div","F.eve","F.dist","F.nMST","F.rao","Sp.rich","intensity_bi","intensity_ord","intensity_bi_N","intensity_ord_N"
"forest/shrubs and cropland mosaics",71,4863284,3176465,0.258690568228792,0.464642844558075,0.025689660040418,-1.36411392339234,-1.09317917133597,-1.42963222470618,1.07480223544465,-1.20624815046251,-1.47386022696926,-0.816080378127314,-1.73507680514867,-0.325302198769375,-1.14439908210022,0.682615137197533,0.578993310256511,0.153778758355187,0.476679295174646,1.23747569895139,-0.411525304054071,-1.23550352588089,-0.905487065258526,-1.43020302460239,-1.05067485328041,1.27169932979108,-0.368961177528704,-0.663810811186021,-0.770653465130115,-1.27843053693979,-1.91126819294769,0.855462627214988,-0.706102049722908,0.721474874763547,0.0555055939537721,-1.98141431496546,-0.384224014807524,-1.39240705610232,2.73359538042288,-0.593841626964414,0.167453319903979,-0.769579943568111,-1.85817894526882,"low","low","0","2"
"forest/shrubs and cropland mosaics",71,4865284,3167465,0.159718305159598,0.359188185127279,-0.0363543117596216,-1.27485905372088,-0.95594322862924,-1.3324689761884,1.02311551305022,-1.07518614383554,-1.37560863856472,-0.682111227620005,-1.59773774762766,-0.275457768601225,-1.0118614246594,0.602169011306929,0.456738974698959,0.108247186040242,0.394866578311572,1.16966534273902,-0.444802144075882,-0.717106815668091,0.216312283700154,-0.765949899951001,0.156917630382139,2.28886190327708,1.74411823285242,2.3456935407678,-0.487861188010653,-1.27843053693979,0.771310816817124,-0.374970209522693,1.33817745280012,0.464889375542418,0.366905315507834,1.02641527404335,0.0795207773127035,-0.0884443423507662,-0.0230254333791551,0.921196550756976,0.286121446414754,-0.218161108662278,-0.855259224479708,"low","low","0","2"
"high-intensity forest",43,4844284,3165465,0.135048385495307,0.296300437119551,-0.0241445373191734,-1.24356762892221,-0.884012510983477,-1.27364314301593,1.02995243059067,-1.017695662064,-1.33384768468673,-0.623345524244878,-1.54499990609462,-0.381146304799736,-0.968589410892133,0.515546275665348,0.38859641026344,0.112608240042398,0.306372597277917,1.12922672564219,-0.44841358272539,-0.864667962865474,-0.15227102804259,-0.867203479786529,-0.539275928778857,-0.28982683977791,1.35532649332441,1.75297432783198,0.105738081903538,-0.626287640838409,1.02267999918535,-0.942160932937736,0.67805813577178,1.33304730045261,1.22534812438517,0.196209670415372,0.322250239263269,-0.105125291054612,-0.615674320056177,1.50219596511606,-0.587984285637905,0.134550232561251,-0.411289166793792,"high","high","1","4"
"high-intensity forest",43,4592284,3154465,0.455368469848947,0.518891484777525,0.361195944021373,-1.20043788087012,-1.31904651906264,-0.947817919663422,-0.349000361255894,-1.31566234870684,-1.04477646568252,-0.927921540714976,-1.04673874466599,-0.803900953556465,-1.04329157798598,0.160446551504979,0.528711289223777,0.551496907257145,-0.157584775331705,1.27235912313742,0.137174302697266,-1.46535895000704,-0.963587376369153,-2.07124892685378,0.837507922753419,0.931912080003673,-0.901596107964666,-0.849325406841185,-1.19589100566168,1.96672416045166,-1.89805303518192,1.36672454414772,-1.79847702770593,-0.0613278256979524,0.772867767327297,-1.15342299152077,-1.69353795271017,0.304712382686952,-0.17101093925169,-1.13019946979624,0.0472114078674056,-1.88859511534734,-1.24463075750421,"high","high","1","4"
"forest/shrubs and grassland mosaics",72,4002284,3150465,0.678493608443512,0.312802175389331,0.951074545921994,-0.872301362062242,-1.25802955262456,-0.714178671604763,-1.33979677960474,-1.13144901892962,-0.58540746902272,-0.851009977384597,-0.401125007055234,-0.803900953556465,0.71195577487105,-1.13900845000087,0.316740332545227,1.12772156333294,-1.24435192597245,-1.21286546719192,0.302666491762848,-1.87073069327106,-1.06124560483213,-0.595390569934351,-1.08081146984948,0.616966123322652,1.46630527767319,1.8199108047053,-0.151169141054063,1.15477079037961,-2.32425434918061,1.14726474922336,1.71611572162368,-0.249179301818135,0.817174702716206,0.214011458003528,-0.345799142209442,0.304449514262516,0.367834365146113,-0.0367156930674914,-3.50382129085429,-0.315741854365027,-0.349104358529688,"low","none","0","1"
"medium-intensity forest",42,4628284,3069465,-0.168806910050487,-0.107246519541429,-0.193005702926061,-0.96780649078997,-0.678124243110766,-0.878884838530873,0.537626611172131,-0.739819409823341,-0.980834513828961,-0.339305576918335,-1.00682707562046,0.0416083439569932,-0.143820391901917,0.186751820699325,0.0222791464753038,-0.0716282468647735,0.130188167118381,0.869734513279992,-0.15426147791069,-0.215174714627979,0.0622250039904292,-0.853669053948601,-0.00810553406340833,0.660277810169555,-0.529799599773164,-0.546348276931556,-0.788883227817081,0.823289339413421,0.593439639197245,0.827498314561173,0.235342597192542,-0.948118771437072,-1.86257015153929,0.799062452538159,0.277276054102345,0.188917868137045,0.527702969264636,-0.0935476054640913,0.504730826146401,0.438423210257709,1.86416070245329,"low","medium","1","3"
"high-intensity forest",43,4379284,3054465,-0.449054766326371,-0.550065677409475,-0.294749759300121,-0.170827569489544,-0.290815882800823,0.429359820614866,-1.23659593660592,-0.321542323706016,0.36932922584187,-0.207574261712624,0.45979573588685,-0.803900953556465,-0.535796604997701,-0.323359991138448,-0.49836471470303,-0.100483783594719,-0.456274899778515,-2.07710408720036,0.732474515203481,-0.314981539832974,-0.273684784204955,-0.142740415883029,-0.233579664926939,0.238928327702835,-0.842879454262277,-0.886475393892373,-0.887035050378774,1.06056541631693,1.11313356892346,0.187357060644024,0.904154347709258,1.41530094797319,1.36206934761786,-0.0780213933600211,-0.0536795435084538,1.11073074193398,-0.969871251974588,1.42730014482742,-0.482796101942135,-0.0520226971366569,-1.14100135465271,"high","high","1","4"
"low-intensity forest",41,5009284,2985465,-1.58111765207732,-1.67584449160368,-1.30023687636006,-0.0318397379926457,0.496390562664395,-0.268554986808601,1.19078613902839,0.498440096214318,-0.30330178350996,0.926420306583671,-0.521979867407336,-0.0640801922415182,0.306191722847318,-0.285075682725687,-1.71525517114625,-1.22387732379039,-0.304061082326118,-0.138918758312509,-1.23809443562061,1.03504645727976,-0.254962533251693,0.0466429168258024,-0.834164138029611,-0.799726030239516,-0.447119582815045,-0.882549952139793,0.190705372942469,-0.595006652605272,-0.799457310674321,-1.82790240887758,-0.696546268412107,1.51779185714603,0.880688188124046,-0.793820133229788,-0.384899475295965,-0.803821774505955,-2.63527990375687,0.945807117756904,-0.107316126528283,-0.615911809601544,-1.25629762779056,"low","low","0","2"
"high-intensity forest",43,3647284,2964465,0.721010645269553,0.143146138534605,1.21424407190585,-0.632538251309292,-0.559365011812752,-0.13835690104972,-0.320961168774332,-0.529572004086154,-0.334472067995897,-1.00843362402589,0.035205572163947,-0.592523377196759,1.99125916679315,-1.8304432182393,0.156624131430675,1.31664376324404,-1.70998708295997,-0.618799843625401,1.64601037192091,-0.663361274013975,-0.925709280188767,-0.436259388551559,0.406252340657979,1.9942547724878,0.203593281248881,1.13311721779135,1.62901740780113,-0.545339790469743,1.13540582686689,0.290095789355399,0.251421431673087,1.69365425027924,1.55826728551508,-1.13918671871269,0.751925443514681,0.138616047948101,-0.78810651439375,0.632590428250297,-0.109324464773841,0.869961558436918,-0.526162926395062,"high","high","1","4"
"medium-intensity forest",42,5055284,2951465,-1.66170497463831,-1.62005725628254,-1.55800357715402,0.939127817896484,1.34100714117689,0.841159758603748,0.975341172186141,1.28467340889086,0.634602605341555,1.7300934053759,0.181773452800882,0.237996053971003,-0.0321331596205489,0.206506299859156,-1.61221958080794,-1.50282372518001,0.222543734725276,-0.103045973556972,-1.36932151512859,1.39725611417613,2.4510430390999,1.77971877062402,0.977251203832993,-1.35479776564015,2.10045722138494,0.543162184950561,0.453670591823089,-0.673750624819182,-0.0521823226173547,-0.647926903130518,-0.922427640431516,1.78104293439877,0.704919211460624,-1.64629444593136,2.70389223394344,0.0323110835202631,-1.71685422759902,1.56695195391144,0.522500508985968,2.56645759819604,-1.15047616417826,"low","medium","1","3"
