"Species","SLA","PlantHeight","SeedMass","LDMC","StemSpecificDensity","N","P"
"Abies alba",1.72959731543624,3.6555033557047,4.09308724832215,-1.18939597315436,-0.704697986577181,2.55268456375839,0.346040268456376
"Abies sibirica",1.78,3.81,2.77,-1.175,-0.82,2.515,0.27
"Acer campestre",2.66640350877193,2.61342105263158,3.85333333333333,-1.08833333333333,-0.54780701754386,3.03078947368421,0.607719298245614
"Acer negundo",3.08453608247423,2.18412371134021,3.34773195876289,-1.10824742268041,-0.70360824742268,3.37237113402062,0.735567010309278
"Acer platanoides",2.96403225806452,3.23306451612903,4.945,-1.0108064516129,-0.56758064516129,3.0358064516129,0.563870967741935
"Acer pseudoplatanus",2.65792134831461,3.33168539325843,4.17983146067416,-1.05522471910112,-0.602134831460674,3.22050561797753,0.669438202247191
"Achillea millefolium",2.72354430379747,-0.921350210970464,-1.99443037974684,-1.40548523206751,-5.75151898734177,3.00548523206751,0.862405063291139
"Achillea nobilis",2.98333333333333,-0.712222222222222,-3.04888888888889,-1.41111111111111,-5.57222222222222,3.00555555555556,0.965555555555556
"Aconitum lycoctonum",3.10133333333333,0.412666666666667,1.012,-2.00133333333333,-1.252,3.4,0.760666666666667
"Actaea spicata",3.56525,-0.7035,2.76125,-1.42075,-1.247,2.987,1.15925
"Adenophora liliifolia",3.25666666666667,-0.191666666666667,-1.42333333333333,-1.805,-0.451666666666667,3.425,0.356666666666667
"Adonis vernalis",2.73555555555556,-1.06055555555556,2.16,-1.08777777777778,-1.14111111111111,3.26166666666667,-0.235555555555556
"Adoxa moschatellina",3.64805555555556,-2.385,2.50027777777778,-2.05638888888889,-0.410555555555556,3.67055555555556,1.49694444444444
"Aegopodium podagraria",3.36337209302326,-0.367093023255814,0.845,-1.47720930232558,-3.1106976744186,3.34790697674419,1.44662790697674
"Agrimonia eupatoria",2.8410447761194,-0.594179104477612,2.05746268656716,-1.11462686567164,-4.54731343283582,2.92014925373134,0.606716417910448
"Agrostis canina",3.37290909090909,-1.00472727272727,-3.16436363636364,-1.32418181818182,-1.80054545454545,3.17618181818182,1.072
"Agrostis capillaris",3.35902597402597,-1.08733766233766,-2.86694805194805,-1.23,-1.49564935064935,3.17506493506494,0.760779220779221
"Agrostis gigantea",3.089,-0.705333333333333,-2.59166666666667,-1.39666666666667,-1.69466666666667,3.18466666666667,0.783333333333333
"Agrostis stolonifera",3.24246913580247,-0.963456790123457,-3.5979012345679,-1.22987654320988,-1.48222222222222,3.31481481481481,0.597777777777778
"Ajuga reptans",3.49274509803922,-1.76352941176471,0.417450980392157,-1.80725490196078,-2.65470588235294,3.01509803921569,1.26450980392157
"Alliaria petiolata",3.73140350877193,-0.55280701754386,0.885964912280702,-1.86,-1.1780701754386,3.61105263157895,1.10421052631579
"Alnus glutinosa",2.72876404494382,2.91612359550562,0.300337078651685,-1.1473595505618,-0.780112359550562,3.45106741573034,0.546404494382022
"Alnus incana",2.98323943661972,2.49957746478873,-0.301267605633803,-1.22971830985915,-0.791549295774648,3.49338028169014,0.860704225352113
"Alopecurus pratensis",3.17064516129032,-0.320483870967742,-0.308064516129032,-1.00451612903226,-1.44967741935484,3.19177419354839,1.00467741935484
"Anchusa arvensis",2.82969696969697,-0.799393939393939,1.31909090909091,-2.2169696969697,-0.624848484848485,3.21787878787879,0.332424242424242
"Anemone nemorosa",3.2796875,-1.47979166666667,0.848020833333333,-1.47927083333333,-1.1621875,3.36270833333333,0.98625
"Anemone ranunculoides",3.55961538461538,-1.79769230769231,0.713461538461538,-1.77115384615385,-1.17230769230769,3.39923076923077,1.13923076923077
"Angelica sylvestris",3.2225,0.0036764705882353,0.334264705882353,-1.66867647058824,-4.99411764705882,3.44897058823529,1.29970588235294
"Antennaria dioica",2.80322580645161,-1.98516129032258,-3.01,-1.29193548387097,-3.78064516129032,2.66516129032258,0.654193548387097
"Anthoxanthum odoratum",3.20361809045226,-1.06301507537688,-0.922763819095477,-1.28391959798995,-1.86281407035176,3.05241206030151,0.307989949748744
"Anthriscus sylvestris",3.40155963302752,-0.14743119266055,1.47266055045872,-1.51798165137615,-5.03045871559633,3.37009174311927,1.36825688073395
"Arctium lappa",2.94917808219178,0.329178082191781,2.47424657534247,-1.63643835616438,-0.925342465753425,3.95821917808219,1.51671232876712
"Arctium tomentosum",3.85352941176471,0.205294117647059,2.49176470588235,-1.76411764705882,-1.17352941176471,3.90941176470588,1.29411764705882
"Artemisia abrotanum",3.0525,-0.11,-1.6425,-1.23,-0.7475,3.1175,0.775
"Artemisia absinthium",3.27048780487805,-0.26219512195122,-2.19292682926829,-1.54219512195122,-0.799268292682927,3.15121951219512,0.753414634146341
"Artemisia vulgaris",3.19979166666667,0.054375,-1.9325,-1.42729166666667,-0.671875,3.75458333333333,1.15354166666667
"Asarum europaeum",3.22333333333333,-2.5337037037037,1.3362962962963,-2.02111111111111,-0.544444444444445,3.33222222222222,1.52740740740741
"Asparagus officinalis",2.31853658536585,0.271463414634146,3.03487804878049,-1.30292682926829,-1.91219512195122,3.32439024390244,1.47024390243902
"Asplenium trichomanes",2.37909090909091,-1.36818181818182,-7.75454545454545,-1.23272727272727,-7.29181818181818,2.64,-0.0772727272727273
"Astragalus cicer",3.214375,-0.605,1.39375,-1.5853125,-0.7315625,3.825,0.825625
"Astragalus danicus",3.026,-1.89066666666667,0.166666666666667,-1.43533333333333,-0.538,3.84,0.924
"Berteroa incana",2.95296875,-0.80671875,-0.67203125,-1.4753125,-7.47640625,2.8534375,0.68578125
"Betula humilis",2.39875,0.4525,-1.914375,-0.910625,-0.52625,3.01375,0.489375
"Betula pendula",2.6442735042735,3.06997150997151,-1.58740740740741,-1.00521367521368,-0.49022792022792,3.27891737891738,0.662364672364672
"Betula pubescens",2.639875,2.7475,-1.6125,-0.953,-0.554125,3.193,0.685375
"Bidens cernua",3.4325,-0.4265,0.58225,-1.7345,-5.07325,3.2355,0.64375
"Bidens radiata",3.56428571428571,-0.166428571428571,0.559285714285714,-2.09,-3.67571428571429,3.29857142857143,0.767857142857143
"Brachypodium pinnatum",3.20013157894737,-0.578421052631579,0.817105263157895,-0.935,-3.56394736842105,2.99,0.138026315789474
"Brachypodium sylvaticum",3.79708860759494,-0.259240506329114,0.977721518987342,-1.21696202531646,-3.53126582278481,3.0779746835443,0.636708860759494
"Bromus benekenii",3.09235294117647,-0.148235294117647,1.90235294117647,-1.11411764705882,-7.05823529411765,2.95235294117647,0.427647058823529
"Bromus inermis",2.97571072319202,-0.287331670822943,1.03805486284289,-1.02952618453865,-7.14147132169576,2.93630922693267,-0.393216957605985
"Buglossoides purpurocaerulea",3.61181818181818,-0.619090909090909,2.31272727272727,-1.93,-0.646363636363636,3.28545454545455,0.341818181818182
"Bupleurum longifolium",2.64428571428571,-0.272857142857143,1.50714285714286,-1.33285714285714,-5.10714285714286,2.87714285714286,0.342857142857143
