"loc","FDiv","FEve","FDis","Q","sp_rich","Latitude","Longitude"
1,0.52745700378272,0.553925512927755,2.14613907830792,2.70920264935094,1.56413452114708,67.07371,56.993
2,0.582546907463731,0.579717305638871,1.25038889077781,1.58287389294121,1.39898911939836,37.472576,21.627188
3,0.771541945429329,0.613847646070936,2.45092610735583,2.86719869458833,1.07899220787758,36.895134,14.426432
4,0.984333451293177,0.326749948163894,1.60656024548957,1.7482231053763,0.650244827734069,36.801379,15.094877
5,1,NA,0.235676560668331,0.235676560668331,0.17504099228104,36.684313,15.047442
6,0.698335451377031,0.675951786346836,2.55932888458993,3.22653258181562,1.77529639201241,39.4636,15.977941
7,NA,NA,0,0,0,42.729755,9.139681
8,0.516869819354483,0.556835432913085,2.06582988944796,2.68120607741517,1.37724550872377,42.412558,27.700825
9,0.785384486054754,0.66858363343752,2.74632476248986,3.51616183830962,2.04050442823474,48.279677,16.792215
10,0.926011398400465,0.82039621762405,2.07436101833845,2.45583533154142,1.39069837722925,48.221323,16.911581
11,0.586454212959147,0.663846897505434,1.47297318962981,1.89582701850242,1.75273683407196,48.300352,16.778151
12,0.503733278805164,0.771748094025615,1.88454340376008,2.62983955181054,2.7186993464035,47.75724,15.80057
13,0.812575300916161,0.733962664083533,2.6549805626322,3.36124168210235,2.42466455527642,47.59526,15.0312
14,0.677418842405322,0.784388749361441,2.94394983911997,4.08095781043886,3.09643028605641,47.58294,14.61928
15,0.802079149521233,0.592240317983552,4.12039077350154,4.89618799152813,1.59416669911802,47.58335,14.59768
16,0.690551752210929,0.74309312690239,3.10676292812155,3.99596960686823,2.21287369584252,47.54194,14.63645
17,0.546916598546545,0.688629754249692,1.96708907726298,2.78513313251247,2.30449542347212,47.56217,14.64492
18,0.600473496695291,0.840371760281684,2.05932347110169,2.78954788467528,2.92104716364933,47.56264,14.64662
19,0.572806174194331,0.803816615903633,1.7936510478794,2.50837747221376,3.04004558115833,47.53932,14.50921
20,0.67773621761714,0.740978227614887,2.77215623372791,3.79778620819555,2.73681840834739,47.55384,14.53787
21,0.742133273280573,0.756637148498394,1.82632882322297,2.38389324221811,2.23189837814567,47.21981,13.86728
