"term","estimate","n.eff","std.error","statistic","p.value","model"
"Topographic het.",0.440411432202982,62.8240405700819,0.254786431439293,1.72855135854405,0.0838894216142984,"Trait divergence"
"TWI het.",-0.165549122238329,62.8240405700819,0.137924064595081,-1.20029178899527,0.230026037574742,"Trait divergence"
"Soil N het.",-0.271683346531188,62.8240405700819,0.139115901840274,-1.95292804731353,0.0508281217274325,"Trait divergence"
"Soil Cec het.",-0.000719953577532438,62.8240405700819,0.166297320381946,-0.00432931556491034,0.996545716742508,"Trait divergence"
"Soil C het.",0.0315462205397149,62.8240405700819,0.138792136408026,0.227291122942112,0.82019737535539,"Trait divergence"
"Soil pH het.",0.0718220580686862,62.8240405700819,0.151357970600582,0.474517845236027,0.63513067554692,"Trait divergence"
"Annual temperature",0.182385425191959,62.8240405700819,0.184063740824801,0.990881878063968,0.321743262207639,"Trait divergence"
"Annual precipitation",-0.090789134230891,62.8240405700819,0.19681037362748,-0.461302585618457,0.644581530157877,"Trait divergence"
"Landform het.",-0.0478962197667777,62.8240405700819,0.15672048805103,-0.305615560303654,0.759897371591474,"Trait divergence"
"Soil clay het.",-0.085552687712611,62.8240405700819,0.167830228237676,-0.509757322092502,0.610221488515113,"Trait divergence"
"Land use intensity",0.147552251982387,62.8240405700819,0.133063899938912,1.10888266502129,0.267480802964385,"Trait divergence"
"Soil sand het.",0.13198031958384,62.8240405700819,0.221248082458227,0.596526388466027,0.550823630570544,"Trait divergence"
"Soil silt het.",-0.154904800797056,62.8240405700819,0.185444482956388,-0.835316307757107,0.403539637848393,"Trait divergence"
"Topographic het.",0.168156916055024,83,0.21713779205268,0.77442491454563,0.438679554874233,"Trait evenness"
"TWI het.",0.0467499364852255,83,0.117543635409884,0.397724098988472,0.69083357134778,"Trait evenness"
"Soil N het.",-0.0447500456405394,83,0.118559348143602,-0.377448479105478,0.705840345345436,"Trait evenness"
"Soil Cec het.",-0.124898148024958,83,0.141724270789378,-0.88127564410315,0.37816864541488,"Trait evenness"
"Soil C het.",-0.162067071436928,83,0.118283437638891,-1.37015861790984,0.170637392953462,"Trait evenness"
"Soil pH het.",0.193041759613927,83,0.128992465695812,1.49653515476752,0.134514253946174,"Trait evenness"
"Annual temperature",0.174739056226505,83,0.156865434525131,1.11394238479294,0.265303904592127,"Trait evenness"
"Annual precipitation",0.194689848187518,83,0.167728587994081,1.16074338021846,0.245746274702704,"Trait evenness"
"Landform het.",-0.155525548104976,83,0.133562577996819,-1.16443954914287,0.244245927952751,"Trait evenness"
"Soil clay het.",0.232041423920244,83,0.143030703493958,1.62231897244389,0.104735068422679,"Trait evenness"
"Land use intensity",-0.151033418812394,83,0.113401622408228,-1.3318453087796,0.18291102583329,"Trait evenness"
"Soil sand het.",-0.408273391738626,83,0.188555234011322,-2.16527212240691,0.0303668519533035,"Trait evenness"
"Soil silt het.",0.177403685247831,83,0.158042160956072,1.12250860260725,0.261646251930802,"Trait evenness"
"Topographic het.",0.459744766606031,83,0.220002734957327,2.08972296046777,0.0366426932441748,"Trait richness"
"TWI het.",-0.0947112963635873,83,0.119094510136981,-0.795261647700228,0.426461318035785,"Trait richness"
"Soil N het.",-0.166140461424586,83,0.120123647068521,-1.38307873161573,0.166640726271821,"Trait richness"
"Soil Cec het.",0.0142920989157162,83,0.143594226324701,0.0995311530381333,0.920716554149931,"Trait richness"
"Soil C het.",-0.0862958086285148,83,0.119844091735303,-0.720067275565947,0.471483574826168,"Trait richness"
"Soil pH het.",0.149120977405178,83,0.130694414525281,1.140989673865,0.253874220145916,"Trait richness"
"Annual temperature",0.244884025737019,83,0.15893516653268,1.54077936984869,0.123370492049069,"Trait richness"
"Annual precipitation",0.255607515779037,83,0.169941580943092,1.50409049015868,0.132558068593824,"Trait richness"
"Landform het.",-0.239592074727009,83,0.135324828586556,-1.77049605182956,0.076644541521307,"Trait richness"
"Soil clay het.",0.0179799899378978,83,0.144917864271704,0.124070210586236,0.901259684392767,"Trait richness"
"Land use intensity",0.173784826007971,83,0.114897875146757,1.5125155777337,0.130402752767552,"Trait richness"
"Soil sand het.",-0.222465509086781,83,0.191043028010184,-1.16447855440672,0.244230129329295,"Trait richness"
"Soil silt het.",0.330706771332297,83,0.160127395135653,2.065272910061,0.0388971852699409,"Trait richness"
