"term","estimate","n.eff","std.error","statistic","p.value","model"
"Topographic het.",0.111286741716049,1592.08753070894,0.038471567687249,2.89270098428908,0.00381944725777533,"Trait divergence"
"TWI het.",-0.00583933375283027,1592.08753070894,0.0273419975314644,-0.213566464780436,0.83088515323535,"Trait divergence"
"Soil N het.",-0.0385948021771761,1592.08753070894,0.0283572938195462,-1.36101852393875,0.173507835605138,"Trait divergence"
"Soil Cec het.",0.0273084953018876,1592.08753070894,0.0320530621761093,0.851977734665298,0.394226449973854,"Trait divergence"
"Soil C het.",0.00286801705627903,1592.08753070894,0.0286905275619492,0.0999639009804318,0.920372984693222,"Trait divergence"
"Soil pH het.",0.0522703178781725,1592.08753070894,0.0273532177982608,1.91093853248578,0.0560124805235693,"Trait divergence"
"Annual temperature",0.103172212162091,1592.08753070894,0.0319386948619627,3.23032023092978,0.00123651637203925,"Trait divergence"
"Annual precipitation",-0.0285741562322,1592.08753070894,0.0339156534543121,-0.842506433517264,0.399504540094479,"Trait divergence"
"Landform het.",0.03105744840729,1592.08753070894,0.0300170398884499,1.03466059687119,0.300827443812289,"Trait divergence"
"Soil clay het.",0.0248547940621716,1592.08753070894,0.0320281602058598,0.776029403575426,0.437731624879927,"Trait divergence"
"Land use intensity",0.0379450431276666,1592.08753070894,0.0262109423664779,1.44767946902191,0.147706714437835,"Trait divergence"
"Soil sand het.",-0.00604618519801223,1592.08753070894,0.037556198755964,-0.160990339765206,0.872101009147204,"Trait divergence"
"Soil silt het.",0.00855401451317212,1592.08753070894,0.0328617094613331,0.260303394235691,0.794629754608163,"Trait divergence"
"Topographic het.",0.215426587621652,1326.04886148343,0.0392026457029179,5.49520533012439,3.90256074151116e-08,"Trait evenness"
"TWI het.",-0.0418477230590941,1326.04886148343,0.0278615754258752,-1.5019869630283,0.133100475773476,"Trait evenness"
"Soil N het.",0.0514863778179402,1326.04886148343,0.0288961651779409,1.78177199295789,0.0747864212281754,"Trait evenness"
"Soil Cec het.",0.0692843787519621,1326.04886148343,0.0326621640427717,2.12124275235508,0.0339013792037795,"Trait evenness"
"Soil C het.",-0.131321780879074,1326.04886148343,0.029235734425612,-4.49182425066872,7.06156868155571e-06,"Trait evenness"
"Soil pH het.",0.113117776692161,1326.04886148343,0.0278730135038471,4.0583260463225,4.94257297110386e-05,"Trait evenness"
"Annual temperature",0.292908992750899,1326.04886148343,0.03254562367819,8.99995021288189,2.25820064187306e-19,"Trait evenness"
"Annual precipitation",0.0153254252844298,1326.04886148343,0.0345601505242438,0.443442087258246,0.657445999403651,"Trait evenness"
"Landform het.",-0.074155445663318,1326.04886148343,0.0305874543095831,-2.42437454626895,0.0153347806276615,"Trait evenness"
"Soil clay het.",0.142667926167229,1326.04886148343,0.0326367892566772,4.37138362616478,1.23461649357469e-05,"Trait evenness"
"Land use intensity",-0.0370073714229409,1326.04886148343,0.0267090276445348,-1.38557539104249,0.165876596932612,"Trait evenness"
"Soil sand het.",-0.108317314490598,1326.04886148343,0.0382698778050114,-2.83035433356973,0.00464964784127922,"Trait evenness"
"Soil silt het.",0.026861669192664,1326.04886148343,0.033486180041166,0.8021717962348,0.422453588585059,"Trait evenness"
"Topographic het.",0.363177015321508,1523.92388145516,0.036418169543518,9.97241266855899,2.01278972758648e-23,"Trait richness"
"TWI het.",0.035415884448616,1523.92388145516,0.0258826245230697,1.36832663229531,0.171209858057178,"Trait richness"
"Soil N het.",0.0153018284359469,1523.92388145516,0.0268437295582078,0.570033623784151,0.568654893025774,"Trait richness"
"Soil Cec het.",-0.00284136301010463,1523.92388145516,0.0303422371252534,-0.0936438206047702,0.92539209872612,"Trait richness"
"Soil C het.",-0.0322394260743055,1523.92388145516,0.0271591754905721,-1.1870546690748,0.235206057270026,"Trait richness"
"Soil pH het.",0.0674841862527596,1523.92388145516,0.0258932435236416,2.60624692272112,0.00915404435059557,"Trait richness"
"Annual temperature",0.167547714036042,1523.92388145516,0.0302339750007744,5.54170313469369,2.9954382023276e-08,"Trait richness"
"Annual precipitation",0.151111712904205,1523.92388145516,0.0321054115940195,4.70673650956568,2.51713915072354e-06,"Trait richness"
"Landform het.",-0.0864145127420275,1523.92388145516,0.0284148976955059,-3.04116923692795,0.00235661331052335,"Trait richness"
"Soil clay het.",-0.0253096799150342,1523.92388145516,0.0303186641040724,-0.834788756792048,0.403836657337021,"Trait richness"
"Land use intensity",0.142381015968163,1523.92388145516,0.0248119404582324,5.73840712732011,9.55711480292043e-09,"Trait richness"
"Soil sand het.",0.0574658102177508,1523.92388145516,0.0355516465289341,1.61640362200894,0.106007075778771,"Trait richness"
"Soil silt het.",-0.062688348798971,1523.92388145516,0.0311077252669988,-2.01520195581369,0.0438834926933806,"Trait richness"
