"Species","SLA","PlantHeight","SeedMass","LDMC","StemSpecificDensity","N","P"
"Abies alba",1.72959731543624,3.6555033557047,4.09308724832215,-1.18939597315436,-0.704697986577181,2.55268456375839,0.346040268456376
"Abies sibirica",1.78,3.81,2.77,-1.175,-0.82,2.515,0.27
"Acer campestre",2.66640350877193,2.61342105263158,3.85333333333333,-1.08833333333333,-0.54780701754386,3.03078947368421,0.607719298245614
"Acer monspessulanum",2.43,2.1475,3.5185,-0.8435,-0.19025,2.95725,0.45425
"Acer negundo",3.08453608247423,2.18412371134021,3.34773195876289,-1.10824742268041,-0.70360824742268,3.37237113402062,0.735567010309278
"Acer opalus",2.76296296296296,2.37481481481481,4.52518518518518,-1.03444444444444,-0.362592592592593,3.12888888888889,0.519259259259259
"Acer platanoides",2.96403225806452,3.23306451612903,4.945,-1.0108064516129,-0.56758064516129,3.0358064516129,0.563870967741935
"Acer pseudoplatanus",2.65792134831461,3.33168539325843,4.17983146067416,-1.05522471910112,-0.602134831460674,3.22050561797753,0.669438202247191
"Acer tataricum",2.78,2.1575,3.66416666666667,-1.05833333333333,-0.588333333333333,2.58833333333333,0.178333333333333
"Achillea millefolium",2.72354430379747,-0.921350210970464,-1.99443037974684,-1.40548523206751,-5.75151898734177,3.00548523206751,0.862405063291139
"Acinos alpinus",3.03125,-1.65,-1.5,-1.46125,-2.9025,2.78875,-0.2525
"Aconitum degenii",2.9,0.286666666666667,-0.123333333333333,-1.75666666666667,-1.23,3.37666666666667,0.653333333333333
"Aconitum lycoctonum",3.10133333333333,0.412666666666667,1.012,-2.00133333333333,-1.252,3.4,0.760666666666667
"Aconitum napellus",3.04037037037037,0.105925925925926,1.17962962962963,-1.79481481481481,-1.18814814814815,3.40703703703704,0.693703703703704
"Aconitum variegatum",2.84875,0.24125,-0.78125,-1.8075,-1.27875,3.28,0.67375
"Aconitum vulparia",2.985,0.03,1.38,-1.835,-1.185,3.31,0.535
"Actaea spicata",3.56525,-0.7035,2.76125,-1.42075,-1.247,2.987,1.15925
"Adenophora liliifolia",3.25666666666667,-0.191666666666667,-1.42333333333333,-1.805,-0.451666666666667,3.425,0.356666666666667
"Adenostyles alliariae",3.27615384615385,-0.0907692307692308,0.486153846153846,-2.14692307692308,-3.76307692307692,3.22923076923077,0.809230769230769
"Adenostyles alpina",3.36666666666667,-0.0766666666666666,0.166666666666667,-2.24,-3.88666666666667,3.28,0.833333333333333
"Adoxa moschatellina",3.64805555555556,-2.385,2.50027777777778,-2.05638888888889,-0.410555555555556,3.67055555555556,1.49694444444444
"Aegilops geniculata",3.24789473684211,-2.33421052631579,2.54894736842105,-1.35263157894737,-3.61578947368421,3.45263157894737,0.870526315789474
"Aegilops triuncialis",3.16875,-1.95375,2.47,-1.38875,-3.57375,3.19125,0.75875
"Aegopodium podagraria",3.36337209302326,-0.367093023255814,0.845,-1.47720930232558,-3.1106976744186,3.34790697674419,1.44662790697674
"Aesculus hippocastanum",2.58941176470588,3.23905882352941,9.30164705882353,-1.138,-0.729294117647059,3.14576470588235,0.478941176470588
"Aethionema saxatile",2.85285714285714,-1.985,-0.509285714285714,-2.02785714285714,-7.49,3.45857142857143,1.00928571428571
"Aethusa cynapium",3.40735849056604,-0.348867924528302,0.452452830188679,-1.65849056603774,-5.03566037735849,3.13867924528302,1.00509433962264
"Agrimonia eupatoria",2.8410447761194,-0.594179104477612,2.05746268656716,-1.11462686567164,-4.54731343283582,2.92014925373134,0.606716417910448
"Agrostis canina",3.37290909090909,-1.00472727272727,-3.16436363636364,-1.32418181818182,-1.80054545454545,3.17618181818182,1.072
"Agrostis capillaris",3.35902597402597,-1.08733766233766,-2.86694805194805,-1.23,-1.49564935064935,3.17506493506494,0.760779220779221
"Agrostis gigantea",3.089,-0.705333333333333,-2.59166666666667,-1.39666666666667,-1.69466666666667,3.18466666666667,0.783333333333333
"Agrostis stolonifera",3.24246913580247,-0.963456790123457,-3.5979012345679,-1.22987654320988,-1.48222222222222,3.31481481481481,0.597777777777778
"Aira elegantissima",3.12833333333333,-1.31666666666667,-3.02833333333333,-1.32166666666667,-3.56833333333333,2.90333333333333,0.481666666666667
"Ajuga genevensis",3.37352941176471,-1.49588235294118,0.0235294117647059,-1.95176470588235,-2.81117647058824,3.05235294117647,1.45647058823529
"Ajuga pyramidalis",3.00071428571429,-1.74678571428571,0.420357142857143,-1.38714285714286,-2.56678571428571,3.0025,1.15714285714286
"Ajuga reptans",3.49274509803922,-1.76352941176471,0.417450980392157,-1.80725490196078,-2.65470588235294,3.01509803921569,1.26450980392157
"Alchemilla alpina",2.63971014492754,-2.17130434782609,-0.996086956521739,-1.18710144927536,-1.15913043478261,2.95710144927536,0.694347826086957
"Alchemilla conjuncta",2.834,-1.74,-0.6,-1.372,-1.112,3.028,0.822
"Alchemilla hybrida",2.79,-3,-0.92,-1.27,-1.1,2.83,0.68
"Alchemilla xanthochlora",3.14095238095238,-0.513809523809524,-1.05714285714286,-1.56619047619048,-1.15190476190476,3.06380952380952,0.704761904761905
"Alisma lanceolatum",3.30212121212121,-0.67030303030303,-1.27333333333333,-2.20090909090909,-2.31878787878788,2.90606060606061,0.369393939393939
"Alliaria petiolata",3.73140350877193,-0.55280701754386,0.885964912280702,-1.86,-1.1780701754386,3.61105263157895,1.10421052631579
"Allium angulosum",2.65555555555556,-0.617777777777778,0.557777777777778,-2.08111111111111,-2.24666666666667,3.58,1.02111111111111
"Allium carinatum",3.07142857142857,-0.850714285714286,0.197142857142857,-2.22142857142857,-2.62857142857143,3.51714285714286,1.09642857142857
"Allium ericetorum",2.66,-0.526666666666667,0.45,-2.03,-2.35666666666667,3.72666666666667,1.27
"Allium flavum",2.8525,-0.875,0.5825,-2.0725,-2.4625,3.745,1.1525
"Allium guttatum",2.65,-0.92,-0.33,-2.13,-2.37,3.65,1.11
"Allium lusitanicum",2.7525,-0.44,0.8025,-2.1,-2.415,3.62,1.0675
"Allium oleraceum",2.45619047619048,-0.675714285714286,1.88428571428571,-2.04571428571429,-2.41428571428571,3.60714285714286,1.04380952380952
"Allium paniculatum",2.74,-0.555,0.27,-1.9975,-2.415,3.7275,1.145
"Allium rotundum",2.75666666666667,-0.616666666666667,0.153333333333333,-2.13555555555556,-2.36555555555556,3.68555555555556,1.13222222222222
"Allium schoenoprasum",2.21714285714286,-0.954571428571429,-0.207428571428571,-1.79485714285714,-2.31714285714286,3.488,0.965714285714286
"Allium sphaerocephalon",1.8222641509434,-0.935094339622642,0.41188679245283,-2.01132075471698,-2.45264150943396,3.56,1.04792452830189
"Allium triquetrum",3.26333333333333,-0.9,0.166666666666667,-2.17,-2.46333333333333,3.67666666666667,1.15
"Allium ursinum",3.56462962962963,-0.961666666666667,0.766666666666667,-2.28907407407407,-2.41055555555556,3.80925925925926,1.22981481481481
"Allium victorialis",2.70666666666667,-0.787777777777778,0.9,-2.08333333333333,-2.27444444444444,3.59444444444444,0.953333333333333
