"loc","Latitude","Longitude"
1,43.00642,19.06109
2,43.98359,20.33335
3,43.12159,23.12487
4,43.12159,23.12487
5,43.333078,-1.73763
6,43.142676,-1.630883
7,43.082553,-1.902465
8,42.385115,-2.995763
9,42.726127,-2.44614
10,41.979539,-2.838858
11,43.058996,-2.357216
12,43.083345,-1.988446
13,51.366031,5.011039
14,45.3323,17.50958
15,45.27336,17.53785
16,45.87687,15.93737
17,45.82992,15.60097
18,45.78626,15.68409
19,45.77152,15.61756
20,45.74858,15.70643
21,45.75822,15.65272
22,45.76661,15.67907
23,46.17994,16.05873
24,45.34958,16.92046
25,44.38497,15.46995
26,45.81999,15.62093
27,45.37418,18.04085
28,45.35003,17.29156
29,45.58074,17.49228
30,45.57454,17.47543
31,45.53168,17.60334
32,45.54863,17.58632
33,45.93223,15.97584
34,45.4105,14.82107
35,45.40887,14.82149
36,45.16241,14.19186
37,45.1613,14.19019
38,45.16067,14.18929
39,45.16067,14.18972
40,45.16094,14.19049
41,45.16238,14.19219
42,45.16369,14.19239
43,45.16679,14.19142
44,45.28052,14.20633
45,45.30643,14.21207
46,45.28735,14.20588
47,45.31426,14.23
48,45.35226,14.18794
49,45.37887,14.21788
50,45.34039,14.24816
51,45.31688,14.2107
52,45.36057,14.19301
53,45.37902,14.21805
54,45.32997,14.24243
55,45.78208,17.939715
56,45.44411,14.64091
57,45.44875,14.64589
58,45.41327,14.61435
59,45.41592,14.61409
60,45.59763,15.68873
61,46.19232,16.54015
62,45.25062,18.55094
63,45.486712,14.766271
64,44.99355,14.714286
65,45.045015,14.467502
66,46.325398,16.348584
67,45.647853,16.678548
68,45.27068,16.38213
69,45.24291,16.3829
70,45.25923,16.36634
71,45.26907,16.37237
72,45.25062,16.43829
73,45.18891,16.43333
74,45.899278,16.991264
75,45.888817,16.049784
76,45.121814,14.342672
77,45.121814,14.342672
78,46.30994,16.87234
79,45.255327,19.253673
80,45.434638,18.993362
81,45.32409,14.68218
82,45.41412,14.68503
83,45.45185,14.65988
84,45.45185,14.65988
85,45.4517,14.60401
86,45.4669,14.60937
87,45.4436,14.64782
88,45.45381,14.66465
89,45.41974,14.67841
90,45.41903,14.67919
91,42.758889,16.841106
92,42.765749,17.375444
93,45.135392,13.610626
94,45.148117,13.624815
95,44.835178,13.855808
96,42.627348,18.120587
97,42.627348,18.120587
98,48.978333,13.477222
99,50.093056,15.341389
100,49.179722,13.186944
101,49.110556,13.326111
102,49.040556,13.619722
103,49.107222,13.404444
104,48.978611,13.460278
105,49.038056,13.580278
106,50.635444,15.675694
107,50.311722,16.421139
108,49.531944,17.750556
109,50.857333,15.129056
110,50.854139,15.186222
111,50.851972,15.184222
112,50.861167,15.188056
113,50.860417,15.244167
114,50.844706,15.220303
115,50.797272,15.259742
116,50.828075,15.256608
117,50.846192,15.239125
118,50.908075,15.245392
119,50.880844,15.243883
120,50.815883,15.091492
121,50.783917,15.120867
122,50.8457,15.097564
123,50.89355,15.086236
124,50.883931,15.207417
125,50.859642,15.261931
126,50.711233,15.366172
127,50.807428,15.346672
128,50.340333,16.375583
129,48.826389,13.913889
130,50.018889,14.388056
131,49.719444,17.734722
132,49.577778,18.066667
133,49.6875,18.536111
134,50.399167,12.592778
135,50.046111,17.126944
136,50.046111,17.126944
137,49.876944,13.863333
138,49.698056,13.944444
139,50.395833,15.623611
140,49.221667,13.413333
141,49.765833,16.988611
142,49.516111,17.834444
143,50.801111,15.187222
144,50.795278,15.190278
145,49.578056,18.076944
146,49.953056,14.157778
147,49.1025,13.343611
148,49.144167,13.403056
149,50.002778,12.649722
150,49.370833,14.097222
151,49.083333,14.480556
152,50.094444,16.358333
153,49.518056,18.048611
154,50.039444,17.170278
155,50.041667,17.161944
156,50.044167,17.165278
157,49.458889,13.213611
158,49.458889,13.213611
159,49.343056,13.015
160,49.395278,13.075
161,47.299167,25.119167
162,48.3687,-3.724271
163,47.808,-2.909771
164,49.4046,0.656029
165,43.2423,5.584429
166,43.7805,3.815929
167,43.497,4.356829
168,45.7848,1.847629
169,45.792,1.851229
170,48.4488,7.052329
171,48.3885,7.233229
172,48.4785,7.404229
173,48.0645,7.027129
174,48.0456,7.019929
175,48.429,7.378129
176,48.5415,7.200829
177,48.0321,6.693229
178,48.1977,7.104529
179,48.1059,6.635629
180,47.8377,6.697729
181,47.9016,6.891229
182,47.7558,6.623929
183,47.7315,6.631129
184,47.8017,6.809329
185,47.9151,6.895729
186,48.5388,6.805729
187,42.462,2.349829
188,43.164,0.063829
189,43.1361,0.063829
190,43.0452,0.324829
191,43.1172,1.311229
192,43.1181,-0.090071
193,43.1199,-0.091871
194,43.0515,-0.036971
195,43.1433,-0.015371
196,43.1424,-0.014471
197,43.1568,0.062929
198,43.1343,0.152929
199,43.1325,0.153829
200,43.0245,0.874729
201,43.0587,1.226629
202,42.9138,1.841329
203,43.0641,1.216729
204,43.0434,0.300529
205,43.0749,0.368929
206,43.0191,1.062829
207,43.0263,1.061929
208,43.056,1.038529
209,43.065,1.040329
210,43.0686,1.034929
211,43.0785,0.800029
212,43.0713,1.002529
213,43.074,1.004329
214,43.0758,1.005229
215,43.0659,1.000729
216,43.0785,0.800029
217,43.0722,0.808129
218,43.0767,0.821629
219,43.0767,0.800929
220,43.0704,0.836929
221,47.4444,7.418629
222,47.4624,7.321429
223,45.684,2.976229
224,45.684,2.976229
225,45.684,2.976229
226,45.684,2.976229
227,45.8541,3.375829
228,46.3824,3.555829
229,46.6992,6.290929
230,46.7478,6.350329
231,46.7334,6.357529
232,46.7244,6.364729
233,46.7406,6.356629
234,46.7334,6.338629
235,46.7316,6.340429
236,46.6875,6.195529
237,46.7073,6.247729
238,47.9205,6.213529
239,47.9403,6.424129
240,47.8161,6.769729
241,46.9413,6.146029
242,46.8693,6.022729
243,47.1474,6.506029
244,47.1366,6.660829
245,47.2581,6.809329
246,47.3598,6.993829
247,46.7019,6.215329
248,46.4274,5.930929
249,46.4688,5.828329
250,46.8099,5.966029
251,46.557,5.843629
252,46.9368,5.991229
253,46.8135,6.206329
254,46.7289,6.199129
255,46.6335,6.218929
256,46.755,6.014629
257,46.4733,5.763529
258,46.4103,5.700529
259,46.2276,5.818429
260,46.2042,5.768929
261,46.1394,5.588929
262,46.0134,5.564629
263,45.981,5.653729
264,46.0881,5.652829
265,45.54,1.877329
266,47.1114,6.749029
267,43.317,6.362029
268,51.058444,6.738482
269,51.652963,8.724346
270,52.033485,10.398731
271,51.516434,10.01833
272,51.500515,9.996872
273,51.693203,10.014896
274,49.02501,13.37498
275,49.07501,13.29165
276,49.02501,13.37498
277,49.07502,13.37498
278,49.02501,13.37498
279,49.07501,13.29165
280,51.215981,8.621357
281,51.045058,8.169853
282,48.061561,8.127651
283,48.143983,8.16473
284,49.07501,12.29165
285,49.22502,12.12497
286,48.92502,12.95832
287,52.77112,8.56184
288,52.86044,7.96631
289,52.98928,8.32585
290,52.81747,8.46867
291,52.89312,10.85288
292,52.86205,8.60993
293,53.05094,9.46346
294,53.26739,9.74832
295,53.07916,9.4839
296,53.43674,9.3721
297,53.41158,9.37188
298,52.86205,8.60993
299,48.018635,7.960281
300,47.622955,12.966921
301,47.622955,12.966921
302,47.622955,12.966921
303,47.622955,12.966921
304,47.622955,12.966921
305,52.05949,7.66014
306,52.94306,11.41833
307,52.95571,10.73367
308,41.407222,24.600833
309,41.548611,24.486389
310,41.525,24.483056
311,41.248333,24.94
312,39.359444,23.192778
313,40.525,22.607778
314,40.985556,25.376111
315,39.590833,20.457778
316,39.208056,26.061389
317,39.206389,26.076111
318,37.969167,23.804167
319,37.980833,23.8275
320,37.977222,23.833889
321,37.683056,24.040833
322,37.719444,24.015278
323,41.326944,24.031667
324,41.395278,23.666111
325,40.162222,23.877778
326,40.156389,23.798611
327,40.165,23.755833
328,39.563611,22.7575
329,39.610833,22.879722
330,39.682222,22.808056
331,39.561944,22.759722
332,39.513056,22.811389
333,38.85,21.046944
334,38.642222,21.089722
335,38.681944,21.607778
336,38.359444,21.605556
337,38.797778,22.335
338,38.013056,23.015833
339,38.002778,23.044167
340,37.768611,26.667222
341,46.031697,11.449299
342,45.998807,11.413401
343,45.992674,11.395414
344,46.440113,12.22983
345,45.246652,11.675316
346,46.281513,12.054739
347,46.103348,12.124292
348,46.144419,12.451486
349,46.340666,11.8488
350,45.353508,11.718689
351,46.308424,12.289555
352,46.565158,12.742612
353,46.574991,12.377622
354,46.454756,12.195716
355,46.388903,11.932902
356,46.297297,11.515062
357,46.671384,11.969283
358,46.661989,10.548814
359,46.641005,11.534332
360,46.582833,11.61187
361,45.959904,11.311219
362,46.954965,11.785529
363,45.756201,10.929286
364,45.782271,10.92493
365,46.336426,12.307831
366,45.890113,10.60674
367,42.506393,12.473246
368,42.187312,11.929177
369,42.094546,11.991307
370,40.561511,15.973182
371,41.866083,15.892935
372,41.855235,15.901171
373,43.656387,11.67685
374,42.862913,13.437237
375,42.879999,13.434577
376,43.294748,12.795688
377,42.960112,13.269364
378,41.852762,14.30275
379,43.246383,10.688413
380,43.646731,12.177786
381,57.1363,25.5773
382,55.459583,26.06775
383,55.584278,21.203639
384,55.771361,22.964444
385,55.553972,21.122583
386,55.525417,21.108111
387,53.938833,24.365056
388,54.095278,24.520083
389,53.978278,24.411889
390,53.97425,23.589306
391,53.990833,23.532694
392,54.024528,23.547444
393,54.003444,24.299917
394,54.004111,24.258556
395,54.203917,24.544833
396,54.203472,24.5445
397,54.194417,24.539083
398,54.613722,25.054361
399,54.458889,24.949028
400,54.734111,23.565861
401,54.8245,23.379194
402,54.767528,25.309806
403,56.029028,21.927306
404,54.226778,23.771861
405,55.694333,25.838639
406,55.668111,26.163944
407,55.626139,25.430583
408,55.695972,25.208889
409,55.692333,25.222583
410,56.004306,21.899167
411,55.919806,24.686083
412,55.91225,24.664417
413,56.152556,24.901222
414,55.182111,22.310833
415,55.37475,21.573583
416,54.266944,25.743111
