"Land_system_names","Land_use","lon","lat","BIO1_Annual_Mean_Temperature","BIO11_Mean_Temperature_Coldest_Quarter","BIO6_Min_Temperature_Coldest_Month","BIO8_Mean_Temperature_Wettest_Quarter","BIO9_Mean_Temperature_Driest_Quarter","BIO10_Mean_Temperature_Warmest_Quarter","BIO12_Annual_Precipitation","BIO13_Precipitation_Wettest_Month","BIO14_Precipitation_Driest_Month","BIO15_Precipitation_Seasonality","BIO16_Precipitation_Wettest_Quarter","BIO17_Precipitation_Driest_Quarter","BIO18_Precipitation_Warmest_Quarter","BIO19_Precipitation_Coldest_Quarter","BIO2_Mean_Diurnal_Range","BIO3_Isothermality","BIO4_Temperature_Seasonality","BIO5_Max_Temperature_Warmest_Month","BIO7_Temperature_Annual_Range","Top_Rao","Cec_Rao","Clay_Rao","N_Rao","pH_Rao","Sand_Rao","Silt_Rao","Soc_Rao","Hyd_feat_Sha","Landform_sha","TWI_Rao","C.hull","F.eDep","F.eRDC","F.rich","F.disp","F.div","F.eve","F.dist","F.nMST","F.rao","Sp.rich","intensity_bi","intensity_ord","intensity_bi_N","intensity_ord_N"
"low-intensity forest",41,5066284,5280465,-1.65411778019549,-1.74940175383897,-1.57830165326536,-0.0839551663190091,-1.2085588227903,-1.28108020543342,-1.19639540953585,-1.074434114011,-0.935663143469715,0.619756422508615,-1.08708555220764,-1.05381559490135,-0.335764009302159,-1.57118264974104,-1.11053155247893,-2.0682457037252,1.69241953712826,-1.30060101281726,1.04691000781884,-0.873685387109144,0.058319720503005,-1.28819566029456,-1.64684455982241,-1.8567058277393,0.40213659833607,0.962280026840237,0.549704700575191,1.69711502698697,0.629772567084385,1.43293122184127,1.34389221356064,-0.678904145730804,-0.962932242425376,0.933835826037112,0.200189658958587,-0.0464947657486847,-1.00936481166492,0.500229252345871,0.103065298374088,0.340022352124462,-0.197468612770012,"low","low","0","2"
"wetland",12,4974284,5278465,-1.69011991894831,-1.71701806422465,-1.54981935338059,-0.0659307387024642,-1.2175172923313,-1.26150444861688,-1.27089088041712,-0.990103229685616,-1.00797278040302,0.934340198322277,-1.10863430724376,-1.10203058396956,-0.359043005932595,-1.74260942048097,-1.22631838045935,-2.17590107340247,1.66286912541416,-1.35319375779437,0.948392481764632,-0.600527837874249,-0.303286437920708,-2.18986526417484,-1.30178756033558,-1.99359670530732,0.229542256768514,0.31530481004799,0.890194314597826,1.65723311717445,0.351706740308926,1.86660452235926,-0.664847974802784,1.07875195201608,0.791188410429367,-1.31172027012321,-1.3344008938491,0.0631674761286374,-1.73075227846125,-0.057926882235864,0.0688911774560242,-1.70095275925187,-2.12114329079549,"low","none","0","1"
"low-intensity forest",41,5098284,5267465,-1.62439036011325,-1.7702269445008,-1.59226409203261,-0.00564685201346435,-1.19126300238224,-1.1960320391243,-1.12590688208823,-0.989152324761576,-0.920428310607503,0.62347139399496,-1.01582184390352,-1.02008282833059,-0.260598196980858,-1.43767677786955,-1.06750452862071,-2.11577120243049,1.83758439798758,-1.18406759440499,1.19019739534316,-0.635900464904113,-0.870662230924758,-0.247067062885234,-0.458109423334611,-1.94481318643073,0.0728416776999432,-0.757265798966888,0.593159895835151,0.62570075948209,0.0415863800148986,0.96826407033404,-0.64964645968122,1.27043225545658,-0.263566059482888,-0.889893969929901,-1.13167353839211,-1.83724203856584,-3.31841714578958,0.0212886265675078,0.827562911771967,-1.10047118834291,-0.695352536933845,"low","low","0","2"
"low-intensity forest",41,4977284,5261465,-1.74816739684053,-1.83937324678689,-1.6897168960249,-0.0383952758984019,-1.26189081165955,-1.23159905937786,-1.26833304847032,-0.947363381517246,-1.02938620840755,1.04838349683508,-1.08128390828313,-1.10790804881768,-0.329541425776937,-1.81751402242197,-1.07478509543301,-2.13701509818654,1.92547070490553,-1.29494105837646,1.22284286890202,-0.160739376284598,0.888033185128026,-1.59547670432495,-1.63043130298226,-1.65367526499476,0.21285819250678,0.321990232361727,0.609640345959867,1.18222338772098,0.941029286627127,2.37465942181941,-0.59648158679409,0.93258159509496,0.473104784552565,-2.17400841328375,-1.1664420326806,-0.963267807345933,-1.83488384079556,-0.877099727665525,0.100466367285442,-1.60288337441562,-2.03151907076353,"low","low","0","2"
"wetland",12,4978284,5261465,-1.73479996283157,-1.82876180606549,-1.68360447163248,-0.0161115387267948,-1.25619936333351,-1.20739740209834,-1.29744106099914,-0.998009053224086,-1.05158598477195,1.02972565850143,-1.12145829949835,-1.12866528393512,-0.37302364642287,-1.85131117507599,-1.06702611491317,-2.1441061401884,1.93729117313412,-1.27613992258549,1.23319552701042,-0.324295045413512,0.538688233511419,-0.736374800030439,-1.48265918790403,-1.5934329829502,-0.458772314002402,-0.808518139594788,-0.169388291012886,1.71559779285293,0.448330476080623,3.29337973688229,0.840241868927595,0.233900103384508,-0.0195490183277253,-0.0101694191829832,-0.220664731722301,-0.812934028662963,-1.75705834709799,0.33679050921965,-0.461423575734661,-0.345521838255088,-1.19730489400241,"low","none","0","1"
"low-intensity forest",41,4979284,5259465,-1.7400026438591,-1.8369909460716,-1.68882114593891,-0.0243514015105836,-1.25859966796144,-1.21634645465572,-1.30141488127591,-1.00581217903076,-1.05684963869403,1.0278964849513,-1.12748906323802,-1.1310905380028,-0.379631691315365,-1.85959168263228,-1.05845201850127,-2.13683646888422,1.94694788606145,-1.28079686375092,1.23628253475801,-0.436742059515133,-0.366797638088201,-0.710621757988152,-0.994630870771109,-2.18142392072807,-0.206322892419466,-0.551924206516176,0.200705661120238,1.85735018226811,0.0712019056636177,2.47612291148483,-0.438199331410686,0.256299302083076,0.628498490843033,-0.450799641092645,-1.22507636471567,-1.2919431774824,-1.46416595396674,-0.572688319744358,0.474103075437926,-1.33680047517999,-0.807810937148349,"low","low","0","2"
"wetland",12,4981284,5259465,-1.79861408209538,-1.8572994430325,-1.69802822544824,-0.109829415640826,-1.28098984645996,-1.30918140361347,-1.27440907090257,-0.983104450581565,-1.03659867807292,0.984582626273744,-1.10348595019598,-1.10724855484245,-0.353457140023414,-1.79978951736556,-1.10903177219368,-2.12218778349078,1.84975191698462,-1.36463690903171,1.16257380879414,-0.0320915203432028,-0.559336353207153,0.277784393453589,-0.0728538621672416,-1.09839696095055,0.425603002168253,-1.03070314320004,0.998719857173563,0.441571188690771,0.293254715405739,0.292768071998765,0.17387021206405,-1.14194744048699,-0.413699387273515,0.250872160214401,-0.691442121591238,-0.952871241235561,-1.24485698880491,-0.572651580450271,-1.30561524687526,-0.639512956355025,-0.125172720860636,"low","none","0","1"
"shrub",80,4983284,5258465,-1.89068729197098,-1.89274197216953,-1.72782929771443,-0.246615144973709,-1.32056990393475,-1.45774002807354,-1.20453209704583,-0.892473702271296,-0.985142717906033,0.960808271819589,-1.02337397616511,-1.05217280191392,-0.268436200260995,-1.69144481533567,-1.11053155247893,-2.08419639825566,1.72449694386918,-1.50374863348076,1.06242845442649,-1.28405513903006,-0.85772278704448,-2.89631062115317,-1.16141395581959,-0.918207123672069,-0.790538900316142,-0.938187814135646,0.357276237686906,-1.24077148759669,1.12805444866045,-0.743023432704358,-0.24141064692644,1.64626914954422,1.2912302744841,-1.23583287477546,-1.39461361241064,-2.43931718664932,-3.69553964832735,0.0868546889390557,0.588825831128337,-1.6471492232438,-1.61244103368045,"low","none","0","1"
"low-intensity forest",41,4836284,5241465,-1.56886293597984,-1.66647049285565,-1.53408073154254,0.112891444641828,-1.14570743435797,-1.06729137017561,-1.16832497190816,-1.14670799935202,-0.894215189306266,0.0747965461324691,-1.1924563874445,-0.981616328591443,-0.452223162860614,-1.29320941967614,-1.22572187381595,-2.20987744930872,1.80068167021245,-1.24275744299596,1.03997982207668,-0.517256974451491,0.637225507602703,-0.790368656607894,-1.02660688230976,-1.6247957321634,-0.39861751682402,-1.65753551824266,0.424156328732978,1.78470142686791,-0.210963201682108,1.72428644268217,-0.705501767846342,0.658013929275048,0.241771100446997,-2.39934085526569,-0.6197636654527,0.4594063441587,-0.199795675178787,-1.34217686068998,0.1236666449094,-0.811546199979545,-1.44035275411551,"low","low","0","2"
"low-intensity forest",41,4844284,5236465,-1.74228389824836,-1.73115987151633,-1.56915223813709,-0.147416875128258,-1.21983577801059,-1.35000394632779,-1.11406785638144,-0.983090781323282,-0.86299902089703,0.332810365879901,-1.06850693779208,-0.967898240947503,-0.315903422191657,-1.32903698162681,-1.28436819893087,-2.1819105961738,1.55301086233804,-1.49570132356614,0.828723728190401,0.217967895308501,-0.0384687736768316,-0.670192156167592,-0.745258585915803,-2.12480577626287,0.319444493238077,0.723187527969063,0.786876834060822,-0.583867112207262,-2.01749570501262,-0.367275828585177,-0.896335493159393,0.951570116085981,0.133962185988775,-0.819217887789809,-1.36093432799941,-1.29776739467035,-2.46146451254838,-0.183977004190966,0.280042609781024,-1.37598010263418,-1.03926275843531,"low","low","0","2"
