"Land_system_names","Land_use","lon","lat","BIO1_Annual_Mean_Temperature","BIO11_Mean_Temperature_Coldest_Quarter","BIO6_Min_Temperature_Coldest_Month","BIO8_Mean_Temperature_Wettest_Quarter","BIO9_Mean_Temperature_Driest_Quarter","BIO10_Mean_Temperature_Warmest_Quarter","BIO12_Annual_Precipitation","BIO13_Precipitation_Wettest_Month","BIO14_Precipitation_Driest_Month","BIO15_Precipitation_Seasonality","BIO16_Precipitation_Wettest_Quarter","BIO17_Precipitation_Driest_Quarter","BIO18_Precipitation_Warmest_Quarter","BIO19_Precipitation_Coldest_Quarter","BIO2_Mean_Diurnal_Range","BIO3_Isothermality","BIO4_Temperature_Seasonality","BIO5_Max_Temperature_Warmest_Month","BIO7_Temperature_Annual_Range","Top_Rao","Cec_Rao","Clay_Rao","N_Rao","pH_Rao","Sand_Rao","Silt_Rao","Soc_Rao","Hyd_feat_Sha","Landform_sha","TWI_Rao","C.hull","F.eDep","F.eRDC","F.rich","F.disp","F.div","F.eve","F.dist","F.nMST","F.rao","Sp.rich","intensity_bi","intensity_ord","intensity_bi_N","intensity_ord_N"
"low-intensity forest",41,5256284,3883465,-0.691706444767738,-0.933600732139673,-0.6090477150002,0.719451173771696,-0.371556244800151,-0.244495487745395,-0.954102765807438,-1.21702012142504,-0.929780974681909,-0.114295739999713,-1.05423519913949,-0.947628310512017,-0.770805565978473,-0.710559328228072,-1.68197617737862,-2.59480461433386,1.43482141580368,-0.193768392999979,0.720702414368348,-1.68958544746157,-0.772388961229512,-0.590427805390517,-0.31611014316838,-1.06144182062824,-1.08601328839625,-0.990723536847912,0.654871693974155,-1.2857481740066,-0.782207839550922,-0.787308015139838,-0.942710728015826,1.31603594283309,1.26870686121664,-1.60274276070241,0.555077149981998,0.0586293654224688,-0.196135928962421,-0.781114225986343,1.35036591078526,0.357203730734869,-0.75611523529124,"low","low","0","2"
"high-intensity forest",43,5241284,3780465,-0.303946718353997,-0.576240093444987,-0.305311086918385,0.974731522302359,-0.180721009162112,0.122350535278801,-1.17902010021031,-1.27620467068114,-0.957587772283255,-0.144880560972226,-1.23583948948961,-1.03049230842969,-0.911002349948958,-1.01805587369803,-1.10283886910939,-2.05659608285522,1.36794730140373,0.26899782262681,0.836865811747983,-1.73591208466734,-0.854541049910418,-2.12173327593416,0.254478511012833,-0.283834706384768,-0.479774436901302,-0.26228004974538,1.27375993978695,-0.54884415959965,-2.8914896525385,0.764998959757159,1.27380682574067,-0.104193344861532,-0.605126777725624,1.17668879914856,0.075116217690551,-0.813082006131428,0.256231426855451,1.10551163694724,0.345469620802701,0.630634259899681,0.830068092783086,"high","high","1","4"
"forest/shrubs and cropland mosaics",71,5240284,3767465,-0.272836047662817,-0.548750843794414,-0.280432990457983,0.986935350578187,-0.167027352055875,0.139887826709284,-1.23808280506889,-1.31951767096991,-0.970842273902269,-0.180148242089362,-1.30239259457015,-1.0504429157043,-0.960237521746264,-1.0729359409336,-1.19936167711142,-2.09087954727577,1.37082920680298,0.2881772671857,0.822053237998616,-1.75909989859038,0.0570920487631925,-1.82903671212357,-0.335406347532179,1.94232875234684,-0.4567001235683,-0.540942364770685,2.73616328507808,-0.983299336470619,-2.14967179174314,0.896613507764453,-1.75170888568604,-0.0952348417714326,0.104117747200435,-1.54990440095583,-0.349121550173218,-0.405809605133433,-0.949028922852837,-1.94601832050138,1.91706858477001,-0.487829523437658,-0.895074742235446,"low","low","0","2"
"wetland",12,5100284,3757465,-0.290472474221679,-0.383815149272356,-0.0814079815185244,0.864628261029692,-0.167027352055875,-0.035871371547765,-1.21279707458027,-1.35468600877818,-1.02788391184566,0.0927536915995085,-1.30507103599624,-1.09709271962104,-0.962195281118013,-1.09528972836391,-1.19936167711142,-1.71799345831469,0.752568901905507,0.0991269916083088,0.258738300954977,-1.81647525071428,-0.391164027952277,-1.9513772491857,-0.481532727168124,1.51047895114331,-0.546545316781093,-1.16278467033143,1.41685809056803,1.25179865421146,-3.27377404070347,1.6092223811251,0.963748272123099,-1.43967126464112,-2.10131164961481,0.412576046521836,0.313614183195029,0.387916570734737,0.523634630582987,-0.877349327550916,1.1158258571446,0.688272502612055,1.26279350275162,"low","none","0","1"
"high-intensity forest",43,5232284,3739465,-0.210614706280457,-0.49377227895373,-0.205798582448656,1.01877299481568,-0.143223930339353,0.185639539436912,-1.32374333664298,-1.31166386043351,-1.00490861391018,-0.0288814519700129,-1.34689788578629,-1.09643807241374,-0.992531299915719,-1.21932647235834,-1.19936167711142,-2.08653867936832,1.3537379302857,0.326505244292649,0.752684452054033,-3.08213728158096,-0.719808770203533,-0.992270842853028,1.55457890750293,-1.24615299335917,0.238358578318438,-0.17043547336759,0.0276453039289055,-0.527634520845872,-3.2474902359925,0.616226617285076,-0.1591131274665,1.080065430092,0.569970194540284,-1.01361862673321,-0.48603636904438,-1.23584504709069,-2.08736990479595,0.622046216758495,0.465123684537215,-0.875670710270742,-1.15904359357781,"high","high","1","4"
"high-intensity forest",43,5231284,3738465,-0.210614706280457,-0.49377227895373,-0.205798582448656,1.01877299481568,-0.143481345189856,0.185639539436912,-1.33139063124733,-1.31174091338949,-1.01374604251865,-0.0153963222152785,-1.35167315754552,-1.10109925330041,-0.995966490106901,-1.23187576183079,-1.19936167711142,-2.05986401808745,1.33964220699682,0.326505244292649,0.752684452054033,-1.97106914665349,-0.865796222590403,0.241686672811257,0.439824477936753,-0.371567277877189,-0.207492249080955,-0.77261233999463,1.15198509686028,0.971780564632805,-2.72039041851454,1.14567829230059,3.01905330633466,-0.463744443389296,-0.0841002834483706,1.1150296413494,0.185800600962617,-0.967300240978323,0.247739067754571,0.700630234669212,-0.0146796427231166,0.454772216197826,0.702072672291837,"high","high","1","4"
"high-intensity forest",43,5328284,3732465,-0.428389549466093,-0.750739252239419,-0.437263518813264,0.925561300233846,-0.249189270207133,0.0516913540262176,-1.27766076634426,-1.23291536954017,-1.00114547919761,0.215667158485571,-1.23773185469293,-1.10374710582161,-0.91241801089037,-1.22137191254334,-1.68197617737862,-2.66476853261758,1.62060678047072,0.0928932638548385,0.818794047518349,-1.52242915086242,0.381022371069305,-1.93349058937374,-0.190098561232133,-0.330176798172994,-0.566474119273083,-0.532093457653847,0.297278036531753,1.04006618234496,0.11038422545408,1.23439297016694,2.49312809617658,0.229958267063785,0.254995280409432,1.51618975001569,-0.292873625868177,0.0736996629605228,0.671292220210727,1.67011291396865,-0.740967232277484,-0.484474691991505,-0.519470966198861,"high","high","1","4"
"medium-intensity forest",42,5308284,3730465,-0.332315484429936,-0.686197223126358,-0.372748089551628,0.984800856659614,-0.205477228220682,0.136820490701226,-1.31941623512353,-1.39547196156016,-1.0088434982833,0.0137051883711753,-1.32132709455798,-1.11343038646272,-0.974038183406341,-1.19052497348968,-1.58797972034396,-2.61353024396873,1.63865727859088,0.198575596166354,0.853065549088597,-1.39771485696268,-0.33124194173954,-0.767849517896845,1.4998370972362,0.655538345867027,-0.61349626519524,-1.06116211916787,1.6855539906227,0.996416273546175,1.077030170339,2.18430524198791,2.19967840173966,-0.475405437467179,0.399513222039422,1.03065947058163,-0.32684948846398,0.476825561096127,-0.361304432942566,0.538693925306714,0.334031331067649,-0.244235757400459,0.019536218486437,"low","medium","1","3"
"medium-intensity forest",42,5269284,3722465,-0.303946718353997,-0.60372934309556,-0.305311086918385,0.974731522302359,-0.180721009162112,0.122350535278801,-1.1169352407329,-1.24689512318088,-0.838495385306896,-0.214813881264738,-1.1550373595123,-0.969242787191705,-0.849689718535245,-0.947799186431262,-1.309800817387,-2.24234591952904,1.42826207020103,0.234768311549371,0.792403847334931,-1.89707410266829,0.137910332778148,-0.234079212322204,0.577614032336416,-1.5719657758269,0.393264187269133,0.217776640703125,0.108058397869479,-1.2857481740066,-2.30984166694354,0.6536096407088,-0.567416894603423,0.883199143007349,1.17933925440033,-0.807120121948799,-0.246633210747304,1.38349541084783,-0.565137805250546,0.0925828626697104,0.8490511372256,-0.414628191818134,-0.711001418347093,"low","medium","1","3"
"medium-intensity forest",42,5270284,3721465,-0.303946718353997,-0.60372934309556,-0.305311086918385,0.982628981796803,-0.180721009162112,0.1336994370811,-1.11991261932769,-1.24736112863407,-0.840541726825572,-0.214813881264738,-1.15764929223454,-0.971112252791726,-0.851698220787131,-0.949962522283923,-1.31064032625283,-2.25274061568458,1.44788158685815,0.239628496183531,0.798712373399359,-1.69437592347319,0.57310976322239,-0.250533259703534,1.46001501480578,-0.203124433029841,0.534406595159372,-0.217777493360969,2.25360762579227,1.04242728397993,-0.866663468445991,0.870069252117946,2.36331852359454,0.458360809035054,0.730739748271791,1.16745555888157,-0.326366479029527,-1.34833991786609,-0.737814532606448,1.59687980490834,-0.00699758897961361,-0.611666999184899,-0.817614323851431,"low","medium","1","3"
