"Land_system_names","Land_use","lon","lat","BIO1_Annual_Mean_Temperature","BIO11_Mean_Temperature_Coldest_Quarter","BIO6_Min_Temperature_Coldest_Month","BIO8_Mean_Temperature_Wettest_Quarter","BIO9_Mean_Temperature_Driest_Quarter","BIO10_Mean_Temperature_Warmest_Quarter","BIO12_Annual_Precipitation","BIO13_Precipitation_Wettest_Month","BIO14_Precipitation_Driest_Month","BIO15_Precipitation_Seasonality","BIO16_Precipitation_Wettest_Quarter","BIO17_Precipitation_Driest_Quarter","BIO18_Precipitation_Warmest_Quarter","BIO19_Precipitation_Coldest_Quarter","BIO2_Mean_Diurnal_Range","BIO3_Isothermality","BIO4_Temperature_Seasonality","BIO5_Max_Temperature_Warmest_Month","BIO7_Temperature_Annual_Range","Top_Rao","Cec_Rao","Clay_Rao","N_Rao","pH_Rao","Sand_Rao","Silt_Rao","Soc_Rao","Hyd_feat_Sha","Landform_sha","TWI_Rao","C.hull","F.eDep","F.eRDC","F.rich","F.disp","F.div","F.eve","F.dist","F.nMST","F.rao","Sp.rich","intensity_bi","intensity_ord","intensity_bi_N","intensity_ord_N"
"medium-intensity forest",42,4545284,3667465,-0.373083920234435,-0.109904795269734,0.139448271409606,-1.22066614698395,0.11383236995541,-0.46874093960909,-0.950549722014927,-1.13011214807025,-1.09404145138315,-0.407293937949497,-1.07811125078245,-1.03915515264909,-0.768929474578484,-0.572171648842802,-1.25846261346776,-1.06478673769864,-0.384480795200883,-0.388621371648065,-0.591393578615143,-1.33348890723116,-0.0791455591157926,-1.18391105578236,-0.50775193068473,-1.17922236244338,-0.503782633137347,-0.720422961139133,1.48446716013468,-0.485365816504749,-0.616530891456302,0.472027681693394,0.805881155511265,0.800479078348851,1.36959257758563,-0.170854430199918,-0.564265698718923,1.05128588001134,-2.10963787725183,0.647188306604352,-0.675138376483834,-1.00373037997026,-1.62870879552413,"low","medium","1","3"
"high-intensity forest",43,4372284,3309465,0.294835810300726,0.391989106834956,0.67181266004477,1.21933014297598,-0.0417966115777029,0.223795858987982,-1.31593189679854,-1.56534399045019,-1.19690615011904,-0.90891186863501,-1.49187919514526,-1.19930627239329,-1.1725918951498,-1.08925797641608,-0.945331943442618,-0.613728006759176,-0.317395034890523,0.362735486443656,-0.561172157494395,-1.32368197782557,0.333311937273233,-0.337018300228217,-0.218730052427589,0.368696504882841,0.722074737664852,0.751705202453636,0.108554870160175,-1.24058758070467,-0.0922129080881208,-0.761385095189737,-0.65730409456096,0.200529399118896,0.248706113793221,-2.10007393227649,-0.921490056295039,-2.46676123061888,-0.301141307939936,-0.323889394183576,0.444415938278836,-1.36030506841676,-2.05147510618383,"high","high","1","4"
"high-intensity grassland",53,4019284,3240465,0.568374500216804,0.891745484262273,1.09610910719295,-0.674008531350266,0.125019544149002,0.138604247041747,-0.867635008957293,-1.23758832670804,-0.911887771224957,-0.933480714397232,-1.062602023206,-0.663773630246889,-0.824055971944536,-0.468205358524448,-1.04970866754851,0.352605120115958,-1.26394534072004,0.115957553748621,-1.40274136634451,-1.57562980139504,-0.740661677658866,1.13552789078173,0.467356562643579,0.105250637815572,1.46313929392399,0.882311313479485,-0.495236117799046,-1.24058758070467,-2.63397927945263,0.529985669218231,1.10997009173833,0.761839032156234,0.694545929478315,1.47629660705593,-0.610406872183852,-1.68081618462409,-0.88231628438412,1.90030086796197,-0.804191450665583,-0.436150566789402,-0.0475209181445405,"high","high","1","4"
"high-intensity agricultural mosaics",733,4070284,3225465,0.577120220981842,0.838117023510138,1.05527869225037,1.2150233718879,0.11962481510736,0.215749317747681,-0.923540799583313,-1.18852448627198,-1.03860563348578,-0.867576707386106,-1.14664898430974,-0.797817533686444,-0.769209531198978,-0.542878548662248,-0.945331943442618,0.316288988004625,-1.08928903217008,0.223422823995078,-1.2360525945113,-1.41957585867359,-1.49675736719137,1.33904402590064,-0.946822579178315,0.81623371764853,2.14971536034443,1.9153641741284,0.120942613531721,-1.24058758070467,-2.63397927945263,1.07032042072889,1.05675793253883,0.421669584800588,0.195469816875034,-0.231346746066577,0.994407528731502,-0.00987782442886845,-0.439957153743841,-0.243374083144613,0.381913763135901,1.28211046312747,0.652458623139312,"high","high","1","4"
"forest/shrubs and cropland mosaics",71,4099284,3211465,0.56392976486998,0.78235102146107,1.01435354642386,-1.21362584540341,0.113327123428852,0.257809574273575,-0.967174814945476,-1.35749463813477,-0.990852601078416,-0.991937090553289,-1.19346284515226,-0.796762410471494,-0.925017013139909,-0.605770478813576,-0.945331943442618,0.159517439723243,-0.952518126711596,0.283593992404069,-1.11764849647875,-1.50640381864776,-0.636634079217674,-0.764542919391059,-0.68938628958319,0.89025400962304,-0.606287772089987,-1.1472650688909,-0.401871324661963,1.18659471587315,-2.05455144543438,0.886183926668204,-0.138647969869957,0.187439607563661,-0.00317499310620662,-0.232963927639229,0.891603905957364,0.594507433508217,0.616809509070589,-0.4604653838837,0.788672489995471,0.995269589713503,0.728366048426538,"low","low","0","2"
"high-intensity agricultural mosaics",733,4100284,3211465,0.566709552450557,0.78235102146107,1.0113398161686,-1.21207469771359,0.111667946295706,0.257809574273575,-0.96558964087995,-1.35648672634325,-0.986726141774256,-0.999429244763715,-1.19084304999854,-0.791523249602691,-0.925969300708822,-0.60173371155396,-0.945331943442618,0.151420636124972,-0.947813276207776,0.292513419792573,-1.10433332447165,-1.51729967944577,-0.733861028032122,-1.14946954763681,-0.496255208095999,0.408673435075173,-0.251015047908343,-0.0313770813214127,-0.476356468231349,1.47704084921852,-1.75509583692358,1.19891423324792,0.849653075232193,-0.502222501953446,-0.68962446522711,0.699555356936977,-0.292901961384927,-0.29606127817919,0.116157815614582,-0.0141462311822588,0.497568584619951,0.155293417164981,0.869468683236336,"high","high","1","4"
"forest/shrubs and grassland mosaics",72,4094284,3207465,0.584838845395468,0.810233989246484,1.03559175544,-1.20195870773032,0.120410379231756,0.257809574273575,-0.96751899568872,-1.3617919036292,-1.0134615994311,-0.966387121695514,-1.193598224877,-0.808001191583134,-0.924518123046507,-0.612710232955186,-0.945331943442618,0.150473900495902,-0.986868943263643,0.272787943991401,-1.15819627073814,-1.4628925014916,-0.831349833847218,-0.74364232940489,-0.992001058659594,-0.0239854282398898,-0.617440149084922,-0.599732687233812,-0.429662450435811,-0.966403887078151,-2.63397927945263,0.130318741200163,-0.861492632100987,-0.202060401332314,0.0152206382415082,-0.331642433564142,-0.590155507790348,-0.604545173731319,-1.38116802056761,-0.530377365089714,0.596515847429697,-0.628829258963205,-0.578028312488402,"low","none","0","1"
"high-intensity forest",43,4863284,3184465,0.240328762152913,-0.0778012321170998,0.0934371086811784,1.40940448301007,-0.56337724074237,0.578920611274233,-1.59456263148695,-1.25273960067963,-1.78211764243529,1.66603512803411,-1.37362101013307,-1.8398440742317,-1.03441376145953,-2.12154041303764,-0.319071101099796,-1.12158103557725,0.927288488205819,0.713663304167863,0.600877408210149,-1.23865244448236,-0.337501517217969,-1.00154752298999,0.555031253511111,2.39463928650146,-0.0355890102805858,-0.242891218740479,0.41286368020557,1.47143321168185,-0.878601833380248,2.06586514164817,-0.332201648986878,0.685095385006997,0.9281080951734,-0.435636776879679,-0.90383195483816,-2.82786035662562,-0.627226364070242,0.329627315627059,1.40985255454637,-0.767806755817126,-0.615922195317398,"high","high","1","4"
"forest/shrubs and cropland mosaics",71,4863284,3176465,0.224262685174744,-0.0822192179954826,0.066834532755643,1.38416804753971,-0.570626718259619,0.531770202158551,-1.56947526771656,-1.21747772435713,-1.74969478326332,1.62167527532182,-1.34051982801751,-1.80877923324729,-0.995736865080653,-2.07857656028647,-0.263920135273918,-1.11302738108152,0.888147016213558,0.68820583716328,0.611747591548945,-1.42999238244906,-0.962469641356428,-1.34549701181638,-1.01519020925604,1.23969741089205,-0.373062121339605,-0.581333987154998,-0.773893024994918,-1.24058758070467,-2.17681614582806,0.91516292043063,-0.208463676194053,0.575586741570455,0.127206253080302,-2.08223693715365,-0.650298917688187,-0.433767625747793,1.13070065828495,-1.06122252549289,0.585851797882475,-1.10706596104634,-1.7918211224678,"low","low","0","2"
"forest/shrubs and cropland mosaics",71,4865284,3167465,0.108486119293688,-0.151402539642271,0.0170102979099824,1.31531630963768,-0.605527842860654,0.403131289812202,-1.47083649189543,-1.06542075775156,-1.63968457452704,1.53794046913301,-1.19660963713732,-1.69713063170876,-0.827585784520904,-1.92772022980397,-0.214694376993904,-0.991246394461264,0.800095288378339,0.53648149138782,0.525586139513106,-0.857465451939473,0.162208545274204,-0.715426444765563,0.24448705555977,2.23070703568512,1.73886655468139,2.34718394501859,-0.502969478881163,-1.24058758070467,0.792717354970199,-0.30677913220137,1.154866406423,0.351960886726934,0.550913960258305,0.768255300637865,-0.195753582019782,-0.251923671529039,0.0634842604358722,0.638859290993277,0.0553605195582329,-0.538597136682186,-0.85548613096668,"low","low","0","2"
