"loc","Latitude","Longitude"
1,42.62945,26.28969
2,42.68285,24.95851
3,42.5573,23.54757
4,42.10672,24.39964
5,42.10672,24.39964
6,42.27512,24.54647
7,41.5075,23.4993
8,41.259,23.2004
9,42.21013,26.58035
10,42.73588,25.39356
11,42.12112,23.12579
12,42.25951,26.57165
13,42.25951,26.57165
14,42.14795,26.54046
15,42.13696,25.13442
16,42.13696,25.13442
17,42.13696,25.13442
18,42.13696,25.13442
19,42.13696,25.13442
20,42.13696,25.13442
21,42.13696,25.13442
22,42.13696,25.13442
23,42.13696,25.13442
24,42.13696,25.13442
25,42.13696,25.13442
26,42.14372,25.20935
27,42.14372,25.20935
28,42.14372,25.20935
29,42.14372,25.20935
30,42.74582,24.86303
31,42.78343,24.6799
32,42.6626,23.14169
33,41.39796,23.20646
34,42.34791,23.52373
35,42.60092,24.77486
36,44.03942,22.77803
37,42.76558,24.11249
38,42.75471,24.3547
39,42.73234,24.96746
40,42.56597,23.50153
41,42.42637,25.63499
42,41.69978,23.55025
43,43.29895,-1.923249
44,43.158981,-1.495231
45,43.333999,-1.823958
46,43.306982,-1.824467
47,43.193517,-2.25736
48,43.1755,-2.257579
49,43.183639,-2.13444
50,43.165985,-2.183896
51,43.299836,-2.021849
52,43.050426,-1.461053
53,43.308953,-2.034033
54,43.370027,-1.823262
55,43.375936,-4.452224
56,42.160198,-1.591709
57,42.205084,-1.578599
58,42.05165,-1.557846
59,42.06655,-1.327885
60,42.039348,-1.316517
61,42.06655,-1.327885
62,42.075902,-1.351816
63,42.06655,-1.327885
64,42.06655,-1.327885
65,42.073313,-1.883712
66,42.054936,-1.847791
67,42.030521,-1.32883
68,42.048536,-1.328358
69,42.330415,-1.515106
70,42.048536,-1.328358
71,41.987019,-1.438601
72,41.825968,-2.658629
73,41.834901,-2.634494
74,43.140582,-2.454734
75,42.853879,-1.588312
76,43.042391,-1.534902
77,43.23317,-1.665804
78,43.027,-1.756182
79,42.87361,-1.734769
80,42.798824,-3.411499
81,42.349647,-1.611769
82,42.990148,-1.683328
83,43.161687,-1.716563
84,43.025146,-1.596679
85,43.053884,-1.74336
86,43.053884,-1.74336
87,42.987126,-2.394763
88,42.668273,-1.202058
89,42.685703,-1.164937
90,42.62267,-1.16679
91,42.639069,-1.068746
92,42.686284,-1.201539
93,42.695285,-1.201279
94,42.632251,-1.203096
95,42.703121,-1.127796
96,42.658289,-1.141343
97,42.151625,-1.628196
98,43.375541,-3.366026
99,43.402152,-3.477331
100,43.393297,-3.440219
101,43.27547,-3.599552
102,43.393597,-3.353787
103,43.240014,-3.476051
104,43.375579,-3.353683
105,43.267404,-3.3777
