"term","estimate","n.eff","std.error","statistic","p.value","model"
"Topographic het.",0.164228310510789,993.040489290221,0.0430169192628857,3.81776085607513,0.000134668367054702,"Trait divergence"
"TWI het.",-0.0031215102829719,993.040489290221,0.03357903105181,-0.0929601059112052,0.925935254804507,"Trait divergence"
"Soil N het.",-0.00104512746376174,993.040489290221,0.0351844829712322,-0.0297042154809058,0.976302949939098,"Trait divergence"
"Soil Cec het.",-0.000854240674430065,993.040489290221,0.0387037898363356,-0.0220712410345949,0.982391127215789,"Trait divergence"
"Soil C het.",-0.0537372574890516,993.040489290221,0.0346584607059924,-1.55048021159694,0.121026299465568,"Trait divergence"
"Soil pH het.",0.0314319219481635,993.040489290221,0.0346356850955816,0.907501089163477,0.364141873777192,"Trait divergence"
"Annual temperature",0.116391899595547,993.040489290221,0.0388576374372689,2.99534164380035,0.00274137603521454,"Trait divergence"
"Annual precipitation",-0.132962823520194,993.040489290221,0.0404156456330782,-3.28988493038871,0.00100228361578767,"Trait divergence"
"Landform het.",-0.00114349396159488,993.040489290221,0.0337799556875594,-0.0338512570049349,0.972995762164026,"Trait divergence"
"Soil clay het.",0.084573162905841,993.040489290221,0.0413882494041266,2.04341000461374,0.041011867921761,"Trait divergence"
"Land use intensity",0.0180635139449992,993.040489290221,0.0331653010460644,0.54465098688265,0.585993580456233,"Trait divergence"
"Soil sand het.",0.00541095640550849,993.040489290221,0.0457445072232289,0.118286472714714,0.905840675359515,"Trait divergence"
"Soil silt het.",0.0301723451768915,993.040489290221,0.0392401038546355,0.768916037752207,0.44194315600679,"Trait divergence"
"Topographic het.",0.243594941772491,783.530907617957,0.0410757841190269,5.93037837248868,0.0000000030223739356424,"Trait evenness"
"TWI het.",0.0102116671857427,783.530907617957,0.0320637767441945,0.318479861783334,0.750120968009858,"Trait evenness"
"Soil N het.",0.0725718560610917,783.530907617957,0.0335967824978186,2.16008351590822,0.0307662048744821,"Trait evenness"
"Soil Cec het.",0.0525216512754335,783.530907617957,0.0369572805739293,1.42114491271535,0.155274635481241,"Trait evenness"
"Soil C het.",-0.119415912682608,783.530907617957,0.0330944983257534,-3.60833125515854,0.000308172855393419,"Trait evenness"
"Soil pH het.",0.147561879883337,783.530907617957,0.0330727502471258,4.46173598448048,0.0000081298351523443,"Trait evenness"
"Annual temperature",0.408660852666526,783.530907617957,0.0371041954517428,11.0138718193748,0.000000000000000000000000000327615073896989,"Trait evenness"
"Annual precipitation",0.0650366137967248,783.530907617957,0.0385918920381385,1.68524035391818,0.0919422082962844,"Trait evenness"
"Landform het.",-0.0397425199757192,783.530907617957,0.0322556339292487,-1.23211095658181,0.217907639119598,"Trait evenness"
"Soil clay het.",0.143584501124426,783.530907617957,0.039520602320845,3.63315568823435,0.00027997596869395,"Trait evenness"
"Land use intensity",0.0390990493864694,783.530907617957,0.0316687153822052,1.23462694695976,0.216969375369741,"Trait evenness"
"Soil sand het.",-0.0679537213540417,783.530907617957,0.0436802809494777,-1.55570705766841,0.119777767558938,"Trait evenness"
"Soil silt het.",-0.00816654371711583,783.530907617957,0.0374693909926294,-0.21795240063342,0.827466198603203,"Trait evenness"
"Topographic het.",0.334301377575325,943.787022796911,0.0410622799949671,8.14132526533595,0.000000000000000390974484027063,"Trait richness"
"TWI het.",0.0130145416184401,943.787022796911,0.032053238982063,0.406028907896734,0.684721360129157,"Trait richness"
"Soil N het.",-0.00429761042185348,943.787022796911,0.0335857410334517,-0.127959374711221,0.898181122962463,"Trait richness"
"Soil Cec het.",0.0478984791911712,943.787022796911,0.0369451346927337,1.29647596603814,0.194811555022544,"Trait richness"
"Soil C het.",-0.0575558658265344,943.787022796911,0.0330836194366425,-1.73970885914578,0.0819101529539023,"Trait richness"
"Soil pH het.",0.085679374296278,943.787022796911,0.03306187808717,2.59148539808834,0.00955625969072944,"Trait richness"
"Annual temperature",0.0695296474876537,943.787022796911,0.0370919943719592,1.87451898084555,0.0608589284114068,"Trait richness"
"Annual precipitation",0.132487236852219,943.787022796911,0.0385792067592754,3.43416176695664,0.000594389356737322,"Trait richness"
"Landform het.",-0.0588347823199434,943.787022796911,0.0322450324096859,-1.82461538795881,0.0680590896464421,"Trait richness"
"Soil clay het.",0.0134377310759588,943.787022796911,0.0395076116131519,0.340130180673474,0.733758494375159,"Trait richness"
"Land use intensity",0.0995121332776423,943.787022796911,0.0316583091067863,3.14331801303661,0.00167044250803534,"Trait richness"
"Soil sand het.",-0.00803068559912826,943.787022796911,0.0436659257335041,-0.183911951120424,0.854082529092223,"Trait richness"
"Soil silt het.",-0.0316023940826604,943.787022796911,0.0374570786617002,-0.843696177378986,0.398839204181537,"Trait richness"
