"term","estimate","n.eff","std.error","statistic","p.value","model"
"Topographic het.",0.207771434232862,768.334980262021,0.0509175085988402,4.08054989237228,0.0000449292838261095,"Trait divergence"
"TWI het.",-0.0361666086337082,768.334980262021,0.0370286332597536,-0.976720052830511,0.328707764801537,"Trait divergence"
"Soil N het.",-0.00435182134739424,768.334980262021,0.038196501720601,-0.113932458506982,0.909291334921164,"Trait divergence"
"Soil Cec het.",0.0089687983499779,768.334980262021,0.0433552708229666,0.206867542970735,0.836113305161,"Trait divergence"
"Soil C het.",-0.0626161319094498,768.334980262021,0.0381553819609654,-1.6410825600831,0.100780278420609,"Trait divergence"
"Soil pH het.",-0.0203538369122959,768.334980262021,0.0387891008758051,-0.524730825224971,0.599770325451381,"Trait divergence"
"Annual temperature",0.0528734247086608,768.334980262021,0.0410976448732861,1.28653174340482,0.198257547788736,"Trait divergence"
"Annual precipitation",-0.123040837444024,768.334980262021,0.0450417458368935,-2.73170666806707,0.00630072102144979,"Trait divergence"
"Landform het.",0.0277217672900287,768.334980262021,0.0391689657629947,0.707748258092102,0.479101603267517,"Trait divergence"
"Soil clay het.",-0.00902981265769124,768.334980262021,0.0424288273984994,-0.21282258340259,0.831465348236862,"Trait divergence"
"Land use intensity",-0.0853483875013607,768.334980262021,0.0420547481425527,-2.02945900929084,0.0424115600063387,"Trait divergence"
"Soil sand het.",0.0530178722199709,768.334980262021,0.0474422808325229,1.11752367908134,0.263770480893345,"Trait divergence"
"Soil silt het.",-0.0184558948015572,768.334980262021,0.0459375055592469,-0.401760926651844,0.687859980713844,"Trait divergence"
"Topographic het.",0.270664328246483,685.297198216443,0.0522306677416331,5.18209588254481,0.000000219406368389212,"Trait evenness"
"TWI het.",0.130262455375049,685.297198216443,0.0379836039588897,3.42943906839472,0.000604830219863694,"Trait evenness"
"Soil N het.",-0.0534674450431342,685.297198216443,0.039181592320548,-1.36460623156181,0.172376845133835,"Trait evenness"
"Soil Cec het.",-0.0135156858674483,685.297198216443,0.0444734071289003,-0.303904889235827,0.761200352792134,"Trait evenness"
"Soil C het.",-0.0285974463749996,685.297198216443,0.0391394060584861,-0.730656115022959,0.46498922719001,"Trait evenness"
"Soil pH het.",0.0197175468215331,685.297198216443,0.0397894696686528,0.495546861662928,0.620214151676497,"Trait evenness"
"Annual temperature",0.153272473948173,685.297198216443,0.0421575558428685,3.63570588673254,0.000277220479868941,"Trait evenness"
"Annual precipitation",-0.030596697166282,685.297198216443,0.0462033745023417,-0.662217803263077,0.507831646041395,"Trait evenness"
"Landform het.",0.00878647641204164,685.297198216443,0.0401791342286161,0.218682571955067,0.826897325974698,"Trait evenness"
"Soil clay het.",0.0690225696545391,685.297198216443,0.0435230654705818,1.58588483849312,0.112765435729531,"Trait evenness"
"Land use intensity",-0.0808399396798398,685.297198216443,0.043139341780963,-1.87392612734563,0.0609406077366171,"Trait evenness"
"Soil sand het.",-0.185682181976239,685.297198216443,0.0486658214499356,-3.8154535656458,0.000135933017171423,"Trait evenness"
"Soil silt het.",0.0310169270154661,685.297198216443,0.0471222372666739,0.658222716377732,0.510395029896274,"Trait evenness"
"Topographic het.",0.329035433743577,635.510492767543,0.0542423109453922,6.06602904649159,0.00000000131111428586062,"Trait richness"
"TWI het.",0.126762639719896,635.510492767543,0.039446526727278,3.2135310821228,0.00131113606129005,"Trait richness"
"Soil N het.",-0.0628557337353311,635.510492767543,0.0406906552067244,-1.54472159310287,0.122413619564288,"Trait richness"
"Soil Cec het.",0.0260637394339979,635.510492767543,0.0461862824026285,0.564317760125993,0.57253789670518,"Trait richness"
"Soil C het.",-0.0102322419940835,635.510492767543,0.0406468445571269,-0.251735211074075,0.801245738729029,"Trait richness"
"Soil pH het.",-0.0600568339215511,635.510492767543,0.0413219460167302,-1.45338832535224,0.146115966090266,"Trait richness"
"Annual temperature",0.0508889680878731,635.510492767543,0.0437812362822719,1.16234653036692,0.245094733160444,"Trait richness"
"Annual precipitation",0.000633203536472489,635.510492767543,0.0479828778434289,0.0131964476690763,0.989471063744049,"Trait richness"
"Landform het.",-0.0484886324433978,635.510492767543,0.0417266169368445,-1.16205520607597,0.245213041027318,"Trait richness"
"Soil clay het.",0.0614731971764252,635.510492767543,0.0451993374172187,1.36004642300369,0.173815233817856,"Trait richness"
"Land use intensity",-0.0185067941850794,635.510492767543,0.0448008361610023,-0.413090374442364,0.679540401388105,"Trait richness"
"Soil sand het.",-0.014314724621912,635.510492767543,0.0505401640269332,-0.283234629279864,0.776996984394401,"Trait richness"
"Soil silt het.",-0.0468910861402198,635.510492767543,0.0489371298320363,-0.958190361820584,0.337966776427984,"Trait richness"
