"loc","Latitude","Longitude"
1,43.00642,19.06109
2,42.10003,19.09964
3,42.10003,19.09964
4,43.17474,23.48273
5,43.18198,23.50508
6,42.11192,23.55666
7,42.11192,23.55666
8,45.60269,15.03102
9,41.7625,24.7192
10,43.036003,-1.756
11,42.958064,-2.088557
12,43.00938,-1.793349
13,44.77602,15.08892
14,44.69555,15.04552
15,44.75159,15.76323
16,44.85916,15.07718
17,45.38463,16.82275
18,45.728522,18.62171
19,45.728522,18.62171
20,45.163199,14.572594
21,45.143869,14.600913
22,45.071545,14.559371
23,45.941661,16.893412
24,45.304035,17.903955
25,50.6575,14.345
26,47.8269,-2.968271
27,48.3165,-4.097771
28,49.4118,0.688429
29,46.6974,6.254929
30,47.3436,6.755329
31,47.2212,6.899329
32,50.597295,10.816555
33,49.12501,12.37498
34,48.95215,12.89318
35,52.89314,10.76521
36,52.190946,5.591944
37,51.929699,6.707992
38,51.967496,6.782162
39,51.967284,6.769639
40,52.079451,6.335431
41,56.061855,13.602099
42,51.354444,17.533333
43,51.511944,17.833333
44,51.439167,17.816667
45,51.350556,17.833333
46,54.254722,57.714722
47,54.236111,57.595833
48,54.6125,57.2375
49,54.277222,57.640833
50,54.316667,57.6
51,54.2675,57.683333
52,54.633333,57.266667
53,54.275556,57.682222
54,54.293056,57.693056
55,54.202778,57.725
56,54.1335,57.787667
57,54.321389,57.613333
58,54.365472,58.326639
59,54.383278,58.3505
60,54.393861,58.3605
61,49.203333,20.066667
62,49.580556,19.546111
63,49.219444,20.107778
64,49.208889,20.097778
65,46.130083,14.519219
66,46.119664,14.511153
67,46.305389,14.616983
68,46.293744,14.627903
69,45.738456,14.327186
70,45.727444,14.348014
71,45.738469,14.333836
72,46.423208,14.313739
73,46.437614,13.627339
74,46.435231,13.626489
75,46.331336,7.774332
76,46.183297,7.846983
77,47.477939,8.380562
78,46.674169,6.48498
79,46.796975,6.530093
80,46.969494,6.791575
81,46.676517,6.486115
82,46.666424,6.484071
83,46.677227,6.484926
84,46.47184,6.308461
85,46.734897,6.474746
86,47.125634,7.211554
87,46.72772,6.498685
88,47.049718,8.592704
89,49.73064,30.20086
90,50.39339,30.55303
91,50.35853,30.49528
92,48.16,24.53722
